,,,,,value
STEPS_newcap,r.A,t.coal_extract,1990,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1990,c_fu,644.1346642
STEPS_newcap,r.A,t.coal_extract,1990,c_in,0
STEPS_newcap,r.A,t.coal_extract,1990,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1990,c_op,0
STEPS_newcap,r.A,t.coal_extract,1990,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1990,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1991,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1991,c_fu,619.3433546
STEPS_newcap,r.A,t.coal_extract,1991,c_in,0
STEPS_newcap,r.A,t.coal_extract,1991,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1991,c_op,0
STEPS_newcap,r.A,t.coal_extract,1991,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1991,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1992,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1992,c_fu,665.8174837
STEPS_newcap,r.A,t.coal_extract,1992,c_in,0
STEPS_newcap,r.A,t.coal_extract,1992,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1992,c_op,0
STEPS_newcap,r.A,t.coal_extract,1992,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1992,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1993,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1993,c_fu,584.7498634
STEPS_newcap,r.A,t.coal_extract,1993,c_in,0
STEPS_newcap,r.A,t.coal_extract,1993,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1993,c_op,0
STEPS_newcap,r.A,t.coal_extract,1993,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1993,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1994,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1994,c_fu,527.4051355
STEPS_newcap,r.A,t.coal_extract,1994,c_in,0
STEPS_newcap,r.A,t.coal_extract,1994,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1994,c_op,0
STEPS_newcap,r.A,t.coal_extract,1994,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1994,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1995,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1995,c_fu,576.6192006
STEPS_newcap,r.A,t.coal_extract,1995,c_in,0
STEPS_newcap,r.A,t.coal_extract,1995,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1995,c_op,0
STEPS_newcap,r.A,t.coal_extract,1995,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1995,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1996,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1996,c_fu,567.5322395
STEPS_newcap,r.A,t.coal_extract,1996,c_in,0
STEPS_newcap,r.A,t.coal_extract,1996,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1996,c_op,0
STEPS_newcap,r.A,t.coal_extract,1996,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1996,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1997,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1997,c_fu,579.528252
STEPS_newcap,r.A,t.coal_extract,1997,c_in,0
STEPS_newcap,r.A,t.coal_extract,1997,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1997,c_op,0
STEPS_newcap,r.A,t.coal_extract,1997,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1997,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1998,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1998,c_fu,525.2166131
STEPS_newcap,r.A,t.coal_extract,1998,c_in,0
STEPS_newcap,r.A,t.coal_extract,1998,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1998,c_op,0
STEPS_newcap,r.A,t.coal_extract,1998,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1998,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,1999,c_ds,0
STEPS_newcap,r.A,t.coal_extract,1999,c_fu,513.7177548
STEPS_newcap,r.A,t.coal_extract,1999,c_in,0
STEPS_newcap,r.A,t.coal_extract,1999,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,1999,c_op,0
STEPS_newcap,r.A,t.coal_extract,1999,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,1999,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2000,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2000,c_fu,485.7517744
STEPS_newcap,r.A,t.coal_extract,2000,c_in,0
STEPS_newcap,r.A,t.coal_extract,2000,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2000,c_op,0
STEPS_newcap,r.A,t.coal_extract,2000,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2000,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2001,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2001,c_fu,423.6397059
STEPS_newcap,r.A,t.coal_extract,2001,c_in,0
STEPS_newcap,r.A,t.coal_extract,2001,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2001,c_op,0
STEPS_newcap,r.A,t.coal_extract,2001,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2001,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2002,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2002,c_fu,364.8267515
STEPS_newcap,r.A,t.coal_extract,2002,c_in,0
STEPS_newcap,r.A,t.coal_extract,2002,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2002,c_op,0
STEPS_newcap,r.A,t.coal_extract,2002,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2002,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2003,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2003,c_fu,329.2327809
STEPS_newcap,r.A,t.coal_extract,2003,c_in,0
STEPS_newcap,r.A,t.coal_extract,2003,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2003,c_op,0
STEPS_newcap,r.A,t.coal_extract,2003,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2003,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2004,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2004,c_fu,367.801713
STEPS_newcap,r.A,t.coal_extract,2004,c_in,0
STEPS_newcap,r.A,t.coal_extract,2004,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2004,c_op,0
STEPS_newcap,r.A,t.coal_extract,2004,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2004,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2005,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2005,c_fu,419.3858597
STEPS_newcap,r.A,t.coal_extract,2005,c_in,0
STEPS_newcap,r.A,t.coal_extract,2005,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2005,c_op,0
STEPS_newcap,r.A,t.coal_extract,2005,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2005,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2006,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2006,c_fu,407.4378852
STEPS_newcap,r.A,t.coal_extract,2006,c_in,0
STEPS_newcap,r.A,t.coal_extract,2006,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2006,c_op,0
STEPS_newcap,r.A,t.coal_extract,2006,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2006,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2007,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2007,c_fu,444.8313604
STEPS_newcap,r.A,t.coal_extract,2007,c_in,0
STEPS_newcap,r.A,t.coal_extract,2007,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2007,c_op,0
STEPS_newcap,r.A,t.coal_extract,2007,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2007,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2008,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2008,c_fu,454.254467
STEPS_newcap,r.A,t.coal_extract,2008,c_in,0
STEPS_newcap,r.A,t.coal_extract,2008,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2008,c_op,0
STEPS_newcap,r.A,t.coal_extract,2008,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2008,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2009,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2009,c_fu,223.6887102
STEPS_newcap,r.A,t.coal_extract,2009,c_in,0
STEPS_newcap,r.A,t.coal_extract,2009,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2009,c_op,0
STEPS_newcap,r.A,t.coal_extract,2009,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2009,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2010,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2010,c_fu,329.6564307
STEPS_newcap,r.A,t.coal_extract,2010,c_in,0
STEPS_newcap,r.A,t.coal_extract,2010,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2010,c_op,0
STEPS_newcap,r.A,t.coal_extract,2010,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2010,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2011,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2011,c_fu,366.6093563
STEPS_newcap,r.A,t.coal_extract,2011,c_in,0
STEPS_newcap,r.A,t.coal_extract,2011,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2011,c_op,0
STEPS_newcap,r.A,t.coal_extract,2011,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2011,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2012,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2012,c_fu,305.9318978
STEPS_newcap,r.A,t.coal_extract,2012,c_in,0
STEPS_newcap,r.A,t.coal_extract,2012,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2012,c_op,0
STEPS_newcap,r.A,t.coal_extract,2012,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2012,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2013,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2013,c_fu,156.4018068
STEPS_newcap,r.A,t.coal_extract,2013,c_in,0
STEPS_newcap,r.A,t.coal_extract,2013,c_in_d,0
STEPS_newcap,r.A,t.coal_extract,2013,c_op,0
STEPS_newcap,r.A,t.coal_extract,2013,f.eCO2,0
STEPS_newcap,r.A,t.coal_extract,2013,f.eNOx,0
STEPS_newcap,r.A,t.coal_extract,2014,c_ds,0
STEPS_newcap,r.A,t.coal_extract,2014,c_fu,129.4570802
STEPS_newcap,r.A,t.coal_extract,2014,c_in,0
STEPS_newcap,r.A,t.coal_extract,2014,c_in_d,0
