,,,,,value
STEPS_newcap,r.A,f.coal_extract,1990,f.eCO2,68.15895181540778
STEPS_newcap,r.A,f.coal_extract,1991,f.eCO2,63.10121647646276
STEPS_newcap,r.A,f.coal_extract,1992,f.eCO2,57.113895262822396
STEPS_newcap,r.A,f.coal_extract,1993,f.eCO2,48.31520460055629
STEPS_newcap,r.A,f.coal_extract,1994,f.eCO2,50.61359099334769
STEPS_newcap,r.A,f.coal_extract,1995,f.eCO2,62.5710935001508
STEPS_newcap,r.A,f.coal_extract,1996,f.eCO2,62.1727972124472
STEPS_newcap,r.A,f.coal_extract,1997,f.eCO2,62.698601958803145
STEPS_newcap,r.A,f.coal_extract,1998,f.eCO2,61.87841174240501
STEPS_newcap,r.A,f.coal_extract,1999,f.eCO2,63.641492182029836
STEPS_newcap,r.A,f.coal_extract,2000,f.eCO2,64.04812676326695
STEPS_newcap,r.A,f.coal_extract,2001,f.eCO2,76.68893591138458
STEPS_newcap,r.A,f.coal_extract,2002,f.eCO2,75.4307852482383
STEPS_newcap,r.A,f.coal_extract,2003,f.eCO2,75.78598036964289
STEPS_newcap,r.A,f.coal_extract,2004,f.eCO2,87.62915969897318
STEPS_newcap,r.A,f.coal_extract,2005,f.eCO2,77.41269871133683
STEPS_newcap,r.A,f.coal_extract,2006,f.eCO2,75.00209437878351
STEPS_newcap,r.A,f.coal_extract,2007,f.eCO2,76.01032769901818
STEPS_newcap,r.A,f.coal_extract,2008,f.eCO2,75.17068854932559
STEPS_newcap,r.A,f.coal_extract,2009,f.eCO2,59.29800929614932
STEPS_newcap,r.A,f.coal_extract,2010,f.eCO2,65.20585656899543
STEPS_newcap,r.A,f.coal_extract,2011,f.eCO2,73.10711949108185
STEPS_newcap,r.A,f.coal_extract,2012,f.eCO2,75.04227041460709
STEPS_newcap,r.A,f.coal_extract,2013,f.eCO2,62.03155334148038
STEPS_newcap,r.A,f.coal_extract,2014,f.eCO2,58.74785514986671
STEPS_newcap,r.A,f.coal_extract,2015,f.eCO2,57.25929654132185
STEPS_newcap,r.A,f.coal_extract,2016,f.eCO2,49.78319486765597
STEPS_newcap,r.A,f.coal_extract,2017,f.eCO2,44.330522991910364
STEPS_newcap,r.A,f.coal_extract,2018,f.eCO2,40.556719986899964
STEPS_newcap,r.A,f.coal_extract,2019,f.eCO2,30.41958526812327
STEPS_newcap,r.A,f.coal_extract,2020,f.eCO2,24.86976632783989
STEPS_newcap,r.A,f.coal_extract,2021,f.eCO2,179.63386714119596
STEPS_newcap,r.A,f.coal_extract,2022,f.eCO2,171.4019028062702
STEPS_newcap,r.A,f.coal_extract,2023,f.eCO2,159.64827596366726
STEPS_newcap,r.A,f.coal_extract,2024,f.eCO2,143.40526691818116
STEPS_newcap,r.A,f.coal_extract,2025,f.eCO2,134.71258248663491
STEPS_newcap,r.A,f.coal_extract,2026,f.eCO2,128.46865198393405
STEPS_newcap,r.A,f.coal_extract,2027,f.eCO2,122.22472148123322
STEPS_newcap,r.A,f.coal_extract,2028,f.eCO2,115.98079097853235
STEPS_newcap,r.A,f.coal_extract,2029,f.eCO2,109.73686047583149
STEPS_newcap,r.A,f.coal_extract,2030,f.eCO2,103.4929299731306
STEPS_newcap,r.A,f.coal_extract,2031,f.eCO2,100.1119016546074
STEPS_newcap,r.A,f.coal_extract,2032,f.eCO2,96.73087333608416
STEPS_newcap,r.A,f.coal_extract,2033,f.eCO2,93.34984501756097
STEPS_newcap,r.A,f.coal_extract,2034,f.eCO2,89.96881669903775
STEPS_newcap,r.A,f.coal_extract,2035,f.eCO2,86.58778838051455
STEPS_newcap,r.A,f.coal_extract,2036,f.eCO2,83.20676006199135
STEPS_newcap,r.A,f.coal_extract,2037,f.eCO2,79.82573174346814
STEPS_newcap,r.A,f.coal_extract,2038,f.eCO2,76.44470342494493
STEPS_newcap,r.A,f.coal_extract,2039,f.eCO2,73.06367510642174
STEPS_newcap,r.A,f.coal_extract,2040,f.eCO2,69.68264678789853
STEPS_newcap,r.A,f.coal_extract,2041,f.eCO2,62.24107595945144
STEPS_newcap,r.A,f.coal_extract,2042,f.eCO2,55.60883929373797
STEPS_newcap,r.A,f.coal_extract,2043,f.eCO2,49.694643248569264
STEPS_newcap,r.A,f.coal_extract,2044,f.eCO2,44.41773132760216
STEPS_newcap,r.A,f.coal_extract,2045,f.eCO2,39.70664030227454
STEPS_newcap,r.A,f.coal_extract,2046,f.eCO2,35.49810673146109
STEPS_newcap,r.A,f.coal_extract,2047,f.eCO2,31.736105143808505
STEPS_newcap,r.A,f.coal_extract,2048,f.eCO2,28.371001625639384
STEPS_newcap,r.A,f.coal_extract,2049,f.eCO2,25.35880862197058
STEPS_newcap,r.A,f.coal_extract,2050,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2051,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2052,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2053,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2054,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2055,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2056,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2057,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2058,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2059,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2060,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2061,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2062,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2063,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2064,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2065,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2066,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2067,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2068,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2069,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.coal_extract,2070,f.eCO2,22.66052855228922
STEPS_newcap,r.A,f.oil_extract,1990,f.eCO2,388.15401216303763
STEPS_newcap,r.A,f.oil_extract,1991,f.eCO2,385.45031139136904
STEPS_newcap,r.A,f.oil_extract,1992,f.eCO2,395.08215166915846
STEPS_newcap,r.A,f.oil_extract,1993,f.eCO2,393.123114154574
STEPS_newcap,r.A,f.oil_extract,1994,f.eCO2,387.224281583795
STEPS_newcap,r.A,f.oil_extract,1995,f.eCO2,384.84369686668344
STEPS_newcap,r.A,f.oil_extract,1996,f.eCO2,377.7740086209866
STEPS_newcap,r.A,f.oil_extract,1997,f.eCO2,394.6015974352109
STEPS_newcap,r.A,f.oil_extract,1998,f.eCO2,391.22408966173543
STEPS_newcap,r.A,f.oil_extract,1999,f.eCO2,367.23267915438726
STEPS_newcap,r.A,f.oil_extract,2000,f.eCO2,366.790522783809
STEPS_newcap,r.A,f.oil_extract,2001,f.eCO2,369.65476534313564
STEPS_newcap,r.A,f.oil_extract,2002,f.eCO2,372.6626883059718
STEPS_newcap,r.A,f.oil_extract,2003,f.eCO2,372.51694818199087
STEPS_newcap,r.A,f.oil_extract,2004,f.eCO2,369.6034283041869
STEPS_newcap,r.A,f.oil_extract,2005,f.eCO2,380.44273579410117
STEPS_newcap,r.A,f.oil_extract,2006,f.eCO2,379.5980916856464
STEPS_newcap,r.A,f.oil_extract,2007,f.eCO2,400.08599310794494
STEPS_newcap,r.A,f.oil_extract,2008,f.eCO2,386.5924347291348
STEPS_newcap,r.A,f.oil_extract,2009,f.eCO2,366.3685641993278
STEPS_newcap,r.A,f.oil_extract,2010,f.eCO2,391.8476235968662
STEPS_newcap,r.A,f.oil_extract,2011,f.eCO2,381.27802359685313
STEPS_newcap,r.A,f.oil_extract,2012,f.eCO2,370.1576512676304
STEPS_newcap,r.A,f.oil_extract,2013,f.eCO2,331.9561271587572
STEPS_newcap,r.A,f.oil_extract,2014,f.eCO2,323.98829136920824
