,,,,,value
STEPS_newcap,r.A,f.elect,2021,1,0.03251902078534588
STEPS_newcap,r.A,f.elect,2021,2,0.030739199489583147
STEPS_newcap,r.A,f.elect,2021,3,0.02977830614832173
STEPS_newcap,r.A,f.elect,2021,4,0.029425263676038184
STEPS_newcap,r.A,f.elect,2021,5,0.029891011559570323
STEPS_newcap,r.A,f.elect,2021,6,0.03174758802092805
STEPS_newcap,r.A,f.elect,2021,7,0.03576258834756374
STEPS_newcap,r.A,f.elect,2021,8,0.040725834057661454
STEPS_newcap,r.A,f.elect,2021,9,0.04456507913962476
STEPS_newcap,r.A,f.elect,2021,10,0.04636855365172714
STEPS_newcap,r.A,f.elect,2021,11,0.04678217038178061
STEPS_newcap,r.A,f.elect,2021,12,0.046260643652566824
STEPS_newcap,r.A,f.elect,2021,13,0.045258892099220335
STEPS_newcap,r.A,f.elect,2021,14,0.04480783908537987
STEPS_newcap,r.A,f.elect,2021,15,0.04492198836531103
STEPS_newcap,r.A,f.elect,2021,16,0.045027868755088366
STEPS_newcap,r.A,f.elect,2021,17,0.044816047754826165
STEPS_newcap,r.A,f.elect,2021,18,0.044994172227796836
STEPS_newcap,r.A,f.elect,2021,19,0.04589546490263335
STEPS_newcap,r.A,f.elect,2021,20,0.04646417574315175
STEPS_newcap,r.A,f.elect,2021,21,0.045020132197828924
STEPS_newcap,r.A,f.elect,2021,22,0.04194865405705267
STEPS_newcap,r.A,f.elect,2021,23,0.03856345692993168
STEPS_newcap,r.A,f.elect,2021,24,0.03512320556844128
STEPS_newcap,r.A,f.elect,2022,1,0.03261879710440563
STEPS_newcap,r.A,f.elect,2022,2,0.030833609848868078
STEPS_newcap,r.A,f.elect,2022,3,0.029869819522932196
STEPS_newcap,r.A,f.elect,2022,4,0.029515712667550424
STEPS_newcap,r.A,f.elect,2022,5,0.02998286472824023
STEPS_newcap,r.A,f.elect,2022,6,0.03184503855751026
STEPS_newcap,r.A,f.elect,2022,7,0.035872143655731686
STEPS_newcap,r.A,f.elect,2022,8,0.04085035298992826
STEPS_newcap,r.A,f.elect,2022,9,0.04470117296130578
STEPS_newcap,r.A,f.elect,2022,10,0.0465100847449533
STEPS_newcap,r.A,f.elect,2022,11,0.04692494848263682
STEPS_newcap,r.A,f.elect,2022,12,0.04640184940935828
STEPS_newcap,r.A,f.elect,2022,13,0.045397077688452026
STEPS_newcap,r.A,f.elect,2022,14,0.044944664800823105
STEPS_newcap,r.A,f.elect,2022,15,0.04505915822791416
STEPS_newcap,r.A,f.elect,2022,16,0.04516535783508363
STEPS_newcap,r.A,f.elect,2022,17,0.044952898218478574
STEPS_newcap,r.A,f.elect,2022,18,0.04513155971657596
STEPS_newcap,r.A,f.elect,2022,19,0.04603556968682298
STEPS_newcap,r.A,f.elect,2022,20,0.046605995126161495
STEPS_newcap,r.A,f.elect,2022,21,0.04515759795297963
STEPS_newcap,r.A,f.elect,2022,22,0.04207685965322457
STEPS_newcap,r.A,f.elect,2022,23,0.0386814565398862
STEPS_newcap,r.A,f.elect,2022,24,0.03523083320989255
STEPS_newcap,r.A,f.elect,2023,1,0.0326386389809049
STEPS_newcap,r.A,f.elect,2023,2,0.030848085765592514
STEPS_newcap,r.A,f.elect,2023,3,0.029881398454982132
STEPS_newcap,r.A,f.elect,2023,4,0.029526227216502155
STEPS_newcap,r.A,f.elect,2023,5,0.029994783454349642
STEPS_newcap,r.A,f.elect,2023,6,0.03186255465153198
STEPS_newcap,r.A,f.elect,2023,7,0.035901764521339155
STEPS_newcap,r.A,f.elect,2023,8,0.04089493747963415
STEPS_newcap,r.A,f.elect,2023,9,0.04475733234042633
STEPS_newcap,r.A,f.elect,2023,10,0.04657168139561895
STEPS_newcap,r.A,f.elect,2023,11,0.046987792140932225
STEPS_newcap,r.A,f.elect,2023,12,0.04646312072358923
STEPS_newcap,r.A,f.elect,2023,13,0.04545532883512322
STEPS_newcap,r.A,f.elect,2023,14,0.04500155567168716
STEPS_newcap,r.A,f.elect,2023,15,0.04511639364795683
STEPS_newcap,r.A,f.elect,2023,16,0.04522291247251842
STEPS_newcap,r.A,f.elect,2023,17,0.04500981423957049
STEPS_newcap,r.A,f.elect,2023,18,0.045189012762794564
STEPS_newcap,r.A,f.elect,2023,19,0.04609574002845211
STEPS_newcap,r.A,f.elect,2023,20,0.04666788006661071
STEPS_newcap,r.A,f.elect,2023,21,0.045215129265569864
STEPS_newcap,r.A,f.elect,2023,22,0.042125130806835984
STEPS_newcap,r.A,f.elect,2023,23,0.0387195217072802
STEPS_newcap,r.A,f.elect,2023,24,0.035258526408783325
STEPS_newcap,r.A,f.elect,2024,1,0.03274113577610758
STEPS_newcap,r.A,f.elect,2024,2,0.030945217003038865
STEPS_newcap,r.A,f.elect,2024,3,0.029975632305735564
STEPS_newcap,r.A,f.elect,2024,4,0.029619396684157327
STEPS_newcap,r.A,f.elect,2024,5,0.030089357099162484
STEPS_newcap,r.A,f.elect,2024,6,0.03196272566425711
STEPS_newcap,r.A,f.elect,2024,7,0.03601404070766851
STEPS_newcap,r.A,f.elect,2024,8,0.04102217729006284
STEPS_newcap,r.A,f.elect,2024,9,0.04489614704026877
STEPS_newcap,r.A,f.elect,2024,10,0.04671593336700654
STEPS_newcap,r.A,f.elect,2024,11,0.04713329111994969
STEPS_newcap,r.A,f.elect,2024,12,0.0466070473585421
STEPS_newcap,r.A,f.elect,2024,13,0.04559623530251633
STEPS_newcap,r.A,f.elect,2024,14,0.04514110266731012
STEPS_newcap,r.A,f.elect,2024,15,0.045256284388721396
