,,,,,value
STEPS_newcap,r.A,f.elect,2021,1,0.032631810175990345
STEPS_newcap,r.A,f.elect,2021,2,0.030851988880227613
STEPS_newcap,r.A,f.elect,2021,3,0.029891095538966198
STEPS_newcap,r.A,f.elect,2021,4,0.029538053066682647
STEPS_newcap,r.A,f.elect,2021,5,0.030003800950214786
STEPS_newcap,r.A,f.elect,2021,6,0.03186037741157252
STEPS_newcap,r.A,f.elect,2021,7,0.03587537773820822
STEPS_newcap,r.A,f.elect,2021,8,0.04083862344830592
STEPS_newcap,r.A,f.elect,2021,9,0.04467786853026922
STEPS_newcap,r.A,f.elect,2021,10,0.04648134304237161
STEPS_newcap,r.A,f.elect,2021,11,0.046894959772425075
STEPS_newcap,r.A,f.elect,2021,12,0.046373433043211294
STEPS_newcap,r.A,f.elect,2021,13,0.045371681489864805
STEPS_newcap,r.A,f.elect,2021,14,0.044920628476024536
STEPS_newcap,r.A,f.elect,2021,15,0.04503477775595549
STEPS_newcap,r.A,f.elect,2021,16,0.045140658145732836
STEPS_newcap,r.A,f.elect,2021,17,0.04492883714547063
STEPS_newcap,r.A,f.elect,2021,18,0.04510696161844131
STEPS_newcap,r.A,f.elect,2021,19,0.046008254293277824
STEPS_newcap,r.A,f.elect,2021,20,0.046576965133796215
STEPS_newcap,r.A,f.elect,2021,21,0.04513292158847339
STEPS_newcap,r.A,f.elect,2021,22,0.04206144344769713
STEPS_newcap,r.A,f.elect,2021,23,0.03867624632057615
STEPS_newcap,r.A,f.elect,2021,24,0.03523599495908575
STEPS_newcap,r.A,f.elect,2022,1,0.032909562878046666
STEPS_newcap,r.A,f.elect,2022,2,0.031124375622509123
STEPS_newcap,r.A,f.elect,2022,3,0.030160585296573252
STEPS_newcap,r.A,f.elect,2022,4,0.02980647844119147
STEPS_newcap,r.A,f.elect,2022,5,0.030273630501881275
STEPS_newcap,r.A,f.elect,2022,6,0.032135804331151305
STEPS_newcap,r.A,f.elect,2022,7,0.03616290942937273
STEPS_newcap,r.A,f.elect,2022,8,0.04114111876356931
STEPS_newcap,r.A,f.elect,2022,9,0.044991938734946835
STEPS_newcap,r.A,f.elect,2022,10,0.04680085051859435
STEPS_newcap,r.A,f.elect,2022,11,0.04721571425627771
STEPS_newcap,r.A,f.elect,2022,12,0.046692615182999324
STEPS_newcap,r.A,f.elect,2022,13,0.04568784346209308
STEPS_newcap,r.A,f.elect,2022,14,0.04523543057446415
STEPS_newcap,r.A,f.elect,2022,15,0.04534992400155521
STEPS_newcap,r.A,f.elect,2022,16,0.04545612360872468
STEPS_newcap,r.A,f.elect,2022,17,0.045243663992119626
STEPS_newcap,r.A,f.elect,2022,18,0.045422325490217005
STEPS_newcap,r.A,f.elect,2022,19,0.046326335460464024
STEPS_newcap,r.A,f.elect,2022,20,0.04689676089980255
STEPS_newcap,r.A,f.elect,2022,21,0.04544836372662068
