,,,,value
stated_policies_invcap,r.A,f.coal_extract,2020,56.656626048688096
stated_policies_invcap,r.A,f.coal_extract,2021,58.785218798835416
stated_policies_invcap,r.A,f.coal_extract,2022,30.74888793090397
stated_policies_invcap,r.A,f.coal_extract,2023,24.61790963279786
stated_policies_invcap,r.A,f.coal_extract,2024,16.14188898791746
stated_policies_invcap,r.A,f.coal_extract,2025,10.837760284221519
stated_policies_invcap,r.A,f.coal_extract,2026,10.562668316662776
stated_policies_invcap,r.A,f.coal_extract,2027,10.287576349104038
stated_policies_invcap,r.A,f.coal_extract,2028,10.012484381545299
stated_policies_invcap,r.A,f.coal_extract,2029,9.737392413986559
stated_policies_invcap,r.A,f.coal_extract,2030,9.462300446427811
stated_policies_invcap,r.A,f.coal_extract,2031,8.953847967169946
stated_policies_invcap,r.A,f.coal_extract,2032,8.445395487912082
stated_policies_invcap,r.A,f.coal_extract,2033,7.936943008654217
stated_policies_invcap,r.A,f.coal_extract,2034,7.428490529396351
stated_policies_invcap,r.A,f.coal_extract,2035,6.920038050138487
stated_policies_invcap,r.A,f.coal_extract,2036,6.4115855708806215
stated_policies_invcap,r.A,f.coal_extract,2037,5.903133091622756
stated_policies_invcap,r.A,f.coal_extract,2038,5.394680612364891
stated_policies_invcap,r.A,f.coal_extract,2039,4.886228133107027
stated_policies_invcap,r.A,f.coal_extract,2040,4.377775653849161
stated_policies_invcap,r.A,f.coal_extract,2041,3.660048417759877
stated_policies_invcap,r.A,f.coal_extract,2042,3.0605060138996447
stated_policies_invcap,r.A,f.coal_extract,2043,2.5596104199855017
stated_policies_invcap,r.A,f.coal_extract,2044,2.1410650759570413
stated_policies_invcap,r.A,f.coal_extract,2045,1.7912754033627651
stated_policies_invcap,r.A,f.coal_extract,2046,1.4988993633158147
stated_policies_invcap,r.A,f.coal_extract,2047,1.2544729885320653
stated_policies_invcap,r.A,f.coal_extract,2048,1.050098350890807
stated_policies_invcap,r.A,f.coal_extract,2049,0.8791835275508022
stated_policies_invcap,r.A,f.coal_extract,2050,0.7362258773144559
stated_policies_invcap,r.A,f.coal_extract,1990,178.93639792723496
stated_policies_invcap,r.A,f.coal_extract,1991,180.00538981600354
stated_policies_invcap,r.A,f.coal_extract,1992,189.89826082072244
stated_policies_invcap,r.A,f.coal_extract,1993,184.0675045553569
stated_policies_invcap,r.A,f.coal_extract,1994,172.05055933568454
stated_policies_invcap,r.A,f.coal_extract,1995,187.26111819074177
stated_policies_invcap,r.A,f.coal_extract,1996,196.44886239314593
stated_policies_invcap,r.A,f.coal_extract,1997,203.19518409449893
stated_policies_invcap,r.A,f.coal_extract,1998,216.96809286042196
stated_policies_invcap,r.A,f.coal_extract,1999,217.01154714155496
stated_policies_invcap,r.A,f.coal_extract,2000,211.73942698870326
stated_policies_invcap,r.A,f.coal_extract,2001,202.22360486627798
stated_policies_invcap,r.A,f.coal_extract,2002,195.86357249477578
stated_policies_invcap,r.A,f.coal_extract,2003,191.83630266521303
stated_policies_invcap,r.A,f.coal_extract,2004,196.2012528539313
