,,,,,value
Nuclear_invcap,r.A,t.coal_extract,1990,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1990,c_fu,1555.0668670053703
Nuclear_invcap,r.A,t.coal_extract,1990,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1990,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1990,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1990,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1990,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,c_fu,1439.3029171915407
Nuclear_invcap,r.A,t.coal_extract,1991,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1991,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,c_fu,1303.0293220450908
Nuclear_invcap,r.A,t.coal_extract,1992,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1992,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,c_fu,1098.8280557864775
Nuclear_invcap,r.A,t.coal_extract,1993,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1993,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,c_fu,1106.719166207304
Nuclear_invcap,r.A,t.coal_extract,1994,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1994,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,c_fu,1259.4080277627193
Nuclear_invcap,r.A,t.coal_extract,1995,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1995,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,c_fu,1182.5845151203876
Nuclear_invcap,r.A,t.coal_extract,1996,c_in,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,c_in_d,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,c_op,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,f.eCO2,0.0
Nuclear_invcap,r.A,t.coal_extract,1996,f.eNOx,0.0
Nuclear_invcap,r.A,t.coal_extract,1997,c_ds,0.0
Nuclear_invcap,r.A,t.coal_extract,1997,c_fu,1173.5483452885499
