,,,,,value
NetZero2050,r.A,f.coal_extract,1990,f.eCO2,72.10953070329063
NetZero2050,r.A,f.coal_extract,1991,f.eCO2,71.65077675713795
NetZero2050,r.A,f.coal_extract,1992,f.eCO2,75.658150226108
NetZero2050,r.A,f.coal_extract,1993,f.eCO2,73.1969407551393
NetZero2050,r.A,f.coal_extract,1994,f.eCO2,91.27377771354347
NetZero2050,r.A,f.coal_extract,1995,f.eCO2,91.82075577868082
NetZero2050,r.A,f.coal_extract,1996,f.eCO2,95.87872075370286
NetZero2050,r.A,f.coal_extract,1997,f.eCO2,97.71842147256251
NetZero2050,r.A,f.coal_extract,1998,f.eCO2,93.90651634075529
NetZero2050,r.A,f.coal_extract,1999,f.eCO2,92.18009962840615
NetZero2050,r.A,f.coal_extract,2000,f.eCO2,89.92496028215302
NetZero2050,r.A,f.coal_extract,2001,f.eCO2,85.86736994418449
NetZero2050,r.A,f.coal_extract,2002,f.eCO2,83.23030528781092
NetZero2050,r.A,f.coal_extract,2003,f.eCO2,81.49392740751661
NetZero2050,r.A,f.coal_extract,2004,f.eCO2,83.35414386863009
NetZero2050,r.A,f.coal_extract,2005,f.eCO2,85.847121369423
NetZero2050,r.A,f.coal_extract,2006,f.eCO2,82.2563974949954
NetZero2050,r.A,f.coal_extract,2007,f.eCO2,80.15821700863272
NetZero2050,r.A,f.coal_extract,2008,f.eCO2,79.11602214451469
NetZero2050,r.A,f.coal_extract,2009,f.eCO2,66.6250281782153
NetZero2050,r.A,f.coal_extract,2010,f.eCO2,75.30695669369815
NetZero2050,r.A,f.coal_extract,2011,f.eCO2,77.30225122217517
NetZero2050,r.A,f.coal_extract,2012,f.eCO2,79.2326138840788
NetZero2050,r.A,f.coal_extract,2013,f.eCO2,66.6612065347107
NetZero2050,r.A,f.coal_extract,2014,f.eCO2,62.17855087550606
NetZero2050,r.A,f.coal_extract,2015,f.eCO2,60.407773380751124
NetZero2050,r.A,f.coal_extract,2016,f.eCO2,52.46406246957686
NetZero2050,r.A,f.coal_extract,2017,f.eCO2,52.230819492190335
NetZero2050,r.A,f.coal_extract,2018,f.eCO2,47.601028814919125
NetZero2050,r.A,f.coal_extract,2019,f.eCO2,35.513498852769295
NetZero2050,r.A,f.coal_extract,2020,f.eCO2,26.360028741889483
NetZero2050,r.A,f.coal_extract,2021,f.eCO2,27.328014716861972
NetZero2050,r.A,f.coal_extract,2022,f.eCO2,12.125575221099352
NetZero2050,r.A,f.coal_extract,2023,f.eCO2,6.939839855483003
NetZero2050,r.A,f.coal_extract,2024,f.eCO2,4.848654453162642
NetZero2050,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
NetZero2050,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
NetZero2050,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
NetZero2050,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
NetZero2050,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
NetZero2050,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
NetZero2050,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
NetZero2050,r.A,f.coal_extract,2032,f.eCO2,3.5267971557520856
NetZero2050,r.A,f.coal_extract,2033,f.eCO2,3.314467400414001
NetZero2050,r.A,f.coal_extract,2034,f.eCO2,3.102137645075916
NetZero2050,r.A,f.coal_extract,2035,f.eCO2,2.8898078897378325
NetZero2050,r.A,f.coal_extract,2036,f.eCO2,2.6774781343997476
NetZero2050,r.A,f.coal_extract,2037,f.eCO2,2.465148379061663
NetZero2050,r.A,f.coal_extract,2038,f.eCO2,2.252818623723579
NetZero2050,r.A,f.coal_extract,2039,f.eCO2,2.0404888683854945
NetZero2050,r.A,f.coal_extract,2040,f.eCO2,1.8281591130474097
NetZero2050,r.A,f.coal_extract,2041,f.eCO2,1.5284362192565248
NetZero2050,r.A,f.coal_extract,2042,f.eCO2,1.2780673114044918
NetZero2050,r.A,f.coal_extract,2043,f.eCO2,1.0688933113859456
NetZero2050,r.A,f.coal_extract,2044,f.eCO2,0.8941087757196605
NetZero2050,r.A,f.coal_extract,2045,f.eCO2,0.7480366084442908
NetZero2050,r.A,f.coal_extract,2046,f.eCO2,0.6259403741206843
NetZero2050,r.A,f.coal_extract,2047,f.eCO2,0.5238679200109905
NetZero2050,r.A,f.coal_extract,2048,f.eCO2,0.4385210713320011
NetZero2050,r.A,f.coal_extract,2049,f.eCO2,0.367147041105215
NetZero2050,r.A,f.coal_extract,2050,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2051,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2052,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2053,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2054,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2055,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2056,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2057,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2058,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2059,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2060,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2061,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2062,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2063,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2064,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2065,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2066,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2067,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2068,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2069,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2070,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.oil_extract,1990,f.eCO2,449.24850914841164
NetZero2050,r.A,f.oil_extract,1991,f.eCO2,446.0129848750722
NetZero2050,r.A,f.oil_extract,1992,f.eCO2,457.2886437195816
NetZero2050,r.A,f.oil_extract,1993,f.eCO2,454.98109779853587
NetZero2050,r.A,f.oil_extract,1994,f.eCO2,448.1541659574598
NetZero2050,r.A,f.oil_extract,1995,f.eCO2,445.35845495348275
NetZero2050,r.A,f.oil_extract,1996,f.eCO2,437.0453987463968
NetZero2050,r.A,f.oil_extract,1997,f.eCO2,456.4529860032913
NetZero2050,r.A,f.oil_extract,1998,f.eCO2,452.7186585710576
