,,,,,value
NetZero2050,r.A,t.elect_storage,2020,1,0.0
NetZero2050,r.A,t.elect_storage,2020,2,0.0
NetZero2050,r.A,t.elect_storage,2020,3,0.0
NetZero2050,r.A,t.elect_storage,2020,4,0.0
NetZero2050,r.A,t.elect_storage,2020,5,0.0
NetZero2050,r.A,t.elect_storage,2020,6,0.0
NetZero2050,r.A,t.elect_storage,2020,7,0.0
NetZero2050,r.A,t.elect_storage,2020,8,0.0
NetZero2050,r.A,t.elect_storage,2020,9,0.0
NetZero2050,r.A,t.elect_storage,2020,10,0.0
NetZero2050,r.A,t.elect_storage,2020,11,0.0
NetZero2050,r.A,t.elect_storage,2020,12,0.0
NetZero2050,r.A,t.elect_storage,2020,13,0.0
NetZero2050,r.A,t.elect_storage,2020,14,0.0
NetZero2050,r.A,t.elect_storage,2020,15,0.0
NetZero2050,r.A,t.elect_storage,2020,16,0.0
NetZero2050,r.A,t.elect_storage,2020,17,0.0
NetZero2050,r.A,t.elect_storage,2020,18,0.0
NetZero2050,r.A,t.elect_storage,2020,19,0.0
NetZero2050,r.A,t.elect_storage,2020,20,0.0
NetZero2050,r.A,t.elect_storage,2020,21,0.0
NetZero2050,r.A,t.elect_storage,2020,22,0.0
NetZero2050,r.A,t.elect_storage,2020,23,0.0
NetZero2050,r.A,t.elect_storage,2020,24,0.0
NetZero2050,r.A,t.elect_storage,2021,1,0.004819659878288491
NetZero2050,r.A,t.elect_storage,2021,2,0.004510938563325642
NetZero2050,r.A,t.elect_storage,2021,3,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,4,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,5,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,6,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,7,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,8,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,9,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,10,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,11,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,12,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,13,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,14,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,15,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,16,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,17,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,18,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,19,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,20,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,21,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,22,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2021,23,0.0048196598782885075
NetZero2050,r.A,t.elect_storage,2021,24,0.0038557279026308093
NetZero2050,r.A,t.elect_storage,2022,1,0.055115481704802516
NetZero2050,r.A,t.elect_storage,2022,2,0.05347288174916895
NetZero2050,r.A,t.elect_storage,2022,3,0.052670603105490696
NetZero2050,r.A,t.elect_storage,2022,4,0.06175691871315063
NetZero2050,r.A,t.elect_storage,2022,5,0.06089918632550492
NetZero2050,r.A,t.elect_storage,2022,6,0.05899350176051324
NetZero2050,r.A,t.elect_storage,2022,7,0.055002825822687354
NetZero2050,r.A,t.elect_storage,2022,8,0.06598250751527283
NetZero2050,r.A,t.elect_storage,2022,9,0.059263028945566135
NetZero2050,r.A,t.elect_storage,2022,10,0.0698819383855217
NetZero2050,r.A,t.elect_storage,2022,11,0.06435860535383113
NetZero2050,r.A,t.elect_storage,2022,12,0.05961367338117031
NetZero2050,r.A,t.elect_storage,2022,13,0.07063676972213082
NetZero2050,r.A,t.elect_storage,2022,14,0.06534501218649387
NetZero2050,r.A,t.elect_storage,2022,15,0.07481872801936328
NetZero2050,r.A,t.elect_storage,2022,16,0.06472623558267383
NetZero2050,r.A,t.elect_storage,2022,17,0.06961941870667836
NetZero2050,r.A,t.elect_storage,2022,18,0.05859632236571785
NetZero2050,r.A,t.elect_storage,2022,19,0.0606397688989208
NetZero2050,r.A,t.elect_storage,2022,20,0.0496166725579603
NetZero2050,r.A,t.elect_storage,2022,21,0.052263686478667894
NetZero2050,r.A,t.elect_storage,2022,22,0.04124059013770739
NetZero2050,r.A,t.elect_storage,2022,23,0.04961044109921559
NetZero2050,r.A,t.elect_storage,2022,24,0.04409238536384203
NetZero2050,r.A,t.elect_storage,2023,1,0.055115481704802516
NetZero2050,r.A,t.elect_storage,2023,2,0.05238796049065938
NetZero2050,r.A,t.elect_storage,2023,3,0.05051330425037168
NetZero2050,r.A,t.elect_storage,2023,4,0.05808288765782574
NetZero2050,r.A,t.elect_storage,2023,5,0.05625576394749661
NetZero2050,r.A,t.elect_storage,2023,6,0.05386613943027756
NetZero2050,r.A,t.elect_storage,2023,7,0.05041078685480811
NetZero2050,r.A,t.elect_storage,2023,8,0.06143388319576863
NetZero2050,r.A,t.elect_storage,2023,9,0.05865251769569345
NetZero2050,r.A,t.elect_storage,2023,10,0.05760075674588916
NetZero2050,r.A,t.elect_storage,2023,11,0.058133129628176544
NetZero2050,r.A,t.elect_storage,2023,12,0.06915622596913705
NetZero2050,r.A,t.elect_storage,2023,13,0.07059204037232751
NetZero2050,r.A,t.elect_storage,2023,14,0.08161513671328802
NetZero2050,r.A,t.elect_storage,2023,15,0.07748052411274088
NetZero2050,r.A,t.elect_storage,2023,16,0.06893009501391863
NetZero2050,r.A,t.elect_storage,2023,17,0.0738631909428807
NetZero2050,r.A,t.elect_storage,2023,18,0.07649175639304673
NetZero2050,r.A,t.elect_storage,2023,19,0.06546866005208621
NetZero2050,r.A,t.elect_storage,2023,20,0.0655956516044778
NetZero2050,r.A,t.elect_storage,2023,21,0.0545725552635173
NetZero2050,r.A,t.elect_storage,2023,22,0.043549458922556794
NetZero2050,r.A,t.elect_storage,2023,23,0.05074602076835144
NetZero2050,r.A,t.elect_storage,2023,24,0.044092385363841746
NetZero2050,r.A,t.elect_storage,2024,1,0.055115481704802516
NetZero2050,r.A,t.elect_storage,2024,2,0.053192080452398274
NetZero2050,r.A,t.elect_storage,2024,3,0.0588940282594159
NetZero2050,r.A,t.elect_storage,2024,4,0.05697763284368639
NetZero2050,r.A,t.elect_storage,2024,5,0.05591030354454904
NetZero2050,r.A,t.elect_storage,2024,6,0.0529966912774578
NetZero2050,r.A,t.elect_storage,2024,7,0.06401978761841831
NetZero2050,r.A,t.elect_storage,2024,8,0.059505045132356264
NetZero2050,r.A,t.elect_storage,2024,9,0.0559919421084734
NetZero2050,r.A,t.elect_storage,2024,10,0.0670150384494339
NetZero2050,r.A,t.elect_storage,2024,11,0.06806781204057408
NetZero2050,r.A,t.elect_storage,2024,12,0.06898769895129733
NetZero2050,r.A,t.elect_storage,2024,13,0.07110387340866711
NetZero2050,r.A,t.elect_storage,2024,14,0.08212696974962763
NetZero2050,r.A,t.elect_storage,2024,15,0.07866250113014608
NetZero2050,r.A,t.elect_storage,2024,16,0.0695518602964052
NetZero2050,r.A,t.elect_storage,2024,17,0.0750093717632436
NetZero2050,r.A,t.elect_storage,2024,18,0.06398627542228306
NetZero2050,r.A,t.elect_storage,2024,19,0.0651675201386288
NetZero2050,r.A,t.elect_storage,2024,20,0.06440856735230245
NetZero2050,r.A,t.elect_storage,2024,21,0.05338547101134193
NetZero2050,r.A,t.elect_storage,2024,22,0.04236237467038144
NetZero2050,r.A,t.elect_storage,2024,23,0.05008340484992181
NetZero2050,r.A,t.elect_storage,2024,24,0.044092385363842114
NetZero2050,r.A,t.elect_storage,2025,1,0.0403421872063449
NetZero2050,r.A,t.elect_storage,2025,2,0.037132708017938214
NetZero2050,r.A,t.elect_storage,2025,3,0.0426488111408008
NetZero2050,r.A,t.elect_storage,2025,4,0.041843677096202514
NetZero2050,r.A,t.elect_storage,2025,5,0.04066970122978692
NetZero2050,r.A,t.elect_storage,2025,6,0.03750918948585318
NetZero2050,r.A,t.elect_storage,2025,7,0.04853228582681369
NetZero2050,r.A,t.elect_storage,2025,8,0.0435884619563337
NetZero2050,r.A,t.elect_storage,2025,9,0.0546115582972942
NetZero2050,r.A,t.elect_storage,2025,10,0.052593578638395914
NetZero2050,r.A,t.elect_storage,2025,11,0.0636166749793564
NetZero2050,r.A,t.elect_storage,2025,12,0.06563450228078373
NetZero2050,r.A,t.elect_storage,2025,13,0.06775018260359923
NetZero2050,r.A,t.elect_storage,2025,14,0.06676620601626308
NetZero2050,r.A,t.elect_storage,2025,15,0.07778930235722357
NetZero2050,r.A,t.elect_storage,2025,16,0.06944975516266948
NetZero2050,r.A,t.elect_storage,2025,17,0.07313165971441256
NetZero2050,r.A,t.elect_storage,2025,18,0.07546501831081456
NetZero2050,r.A,t.elect_storage,2025,19,0.06444192196985407
NetZero2050,r.A,t.elect_storage,2025,20,0.05341882562889356
NetZero2050,r.A,t.elect_storage,2025,21,0.054244476813174215
NetZero2050,r.A,t.elect_storage,2025,22,0.043221380472213716
NetZero2050,r.A,t.elect_storage,2025,23,0.05040366146757762
NetZero2050,r.A,t.elect_storage,2025,24,0.044092385363841524
NetZero2050,r.A,t.elect_storage,2026,1,0.05398622703895353
NetZero2050,r.A,t.elect_storage,2026,2,0.050884798197762614
NetZero2050,r.A,t.elect_storage,2026,3,0.04683662950547721
NetZero2050,r.A,t.elect_storage,2026,4,0.04430914702612037
NetZero2050,r.A,t.elect_storage,2026,5,0.05532269948613377
NetZero2050,r.A,t.elect_storage,2026,6,0.0509038043027091
NetZero2050,r.A,t.elect_storage,2026,7,0.04723298108517059
NetZero2050,r.A,t.elect_storage,2026,8,0.0432824491321001
NetZero2050,r.A,t.elect_storage,2026,9,0.05429600159211349
NetZero2050,r.A,t.elect_storage,2026,10,0.057240472115629236
NetZero2050,r.A,t.elect_storage,2026,11,0.06144187890673164
NetZero2050,r.A,t.elect_storage,2026,12,0.06815219379735987
NetZero2050,r.A,t.elect_storage,2026,13,0.07458851382556356
NetZero2050,r.A,t.elect_storage,2026,14,0.07697307890975533
NetZero2050,r.A,t.elect_storage,2026,15,0.0752764926530328
NetZero2050,r.A,t.elect_storage,2026,16,0.0827248999131512
NetZero2050,r.A,t.elect_storage,2026,17,0.07171134745313779
NetZero2050,r.A,t.elect_storage,2026,18,0.07067860063823643
NetZero2050,r.A,t.elect_storage,2026,19,0.06843771757564314
NetZero2050,r.A,t.elect_storage,2026,20,0.057424165115629734
NetZero2050,r.A,t.elect_storage,2026,21,0.046410612655616336
NetZero2050,r.A,t.elect_storage,2026,22,0.04781462692120894
NetZero2050,r.A,t.elect_storage,2026,23,0.03680107446119556
NetZero2050,r.A,t.elect_storage,2026,24,0.044054209840053496
NetZero2050,r.A,t.elect_storage,2027,1,0.05130186058818855
NetZero2050,r.A,t.elect_storage,2027,2,0.048214445817208074
NetZero2050,r.A,t.elect_storage,2027,3,0.04374198650330068
NetZero2050,r.A,t.elect_storage,2027,4,0.03839597389898299
