,,,,value
NetZero2050,r.A,t.coal_extract,2020,63.12267419034838
NetZero2050,r.A,t.coal_extract,2021,65.44064826834763
NetZero2050,r.A,t.coal_extract,2022,29.036339130985038
NetZero2050,r.A,t.coal_extract,2023,16.618390458532094
NetZero2050,r.A,t.coal_extract,2024,11.610762579412457
NetZero2050,r.A,t.coal_extract,2025,10.837760284221519
NetZero2050,r.A,t.coal_extract,2026,10.562668316662776
NetZero2050,r.A,t.coal_extract,2027,10.287576349104038
NetZero2050,r.A,t.coal_extract,2028,10.012484381545299
NetZero2050,r.A,t.coal_extract,2029,9.737392413986559
NetZero2050,r.A,t.coal_extract,2030,9.462300446427811
NetZero2050,r.A,t.coal_extract,2031,8.953847967169946
NetZero2050,r.A,t.coal_extract,2032,8.445395487912082
NetZero2050,r.A,t.coal_extract,2033,7.936943008654217
NetZero2050,r.A,t.coal_extract,2034,7.428490529396351
NetZero2050,r.A,t.coal_extract,2035,6.920038050138487
NetZero2050,r.A,t.coal_extract,2036,6.4115855708806215
NetZero2050,r.A,t.coal_extract,2037,5.903133091622756
NetZero2050,r.A,t.coal_extract,2038,5.394680612364891
NetZero2050,r.A,t.coal_extract,2039,4.886228133107027
NetZero2050,r.A,t.coal_extract,2040,4.377775653849161
NetZero2050,r.A,t.coal_extract,2041,3.660048417759877
NetZero2050,r.A,t.coal_extract,2042,3.0605060138996447
NetZero2050,r.A,t.coal_extract,2043,2.5596104199855017
NetZero2050,r.A,t.coal_extract,2044,2.1410650759570413
NetZero2050,r.A,t.coal_extract,2045,1.7912754033627651
NetZero2050,r.A,t.coal_extract,2046,1.4988993633158147
NetZero2050,r.A,t.coal_extract,2047,1.2544729885320653
NetZero2050,r.A,t.coal_extract,2048,1.050098350890807
NetZero2050,r.A,t.coal_extract,2049,0.8791835275508022
NetZero2050,r.A,t.coal_extract,2050,0.7362258773144559
NetZero2050,r.A,t.coal_extract,1990,172.67607927033197
NetZero2050,r.A,t.coal_extract,1991,171.577530548702
NetZero2050,r.A,t.coal_extract,1992,181.17373138435823
NetZero2050,r.A,t.coal_extract,1993,175.28003054391593
NetZero2050,r.A,t.coal_extract,1994,218.5674753676807
NetZero2050,r.A,t.coal_extract,1995,219.87728874205175
NetZero2050,r.A,t.coal_extract,1996,229.59463782016968
NetZero2050,r.A,t.coal_extract,1997,234.0000514189715
NetZero2050,r.A,t.coal_extract,1998,224.8719261033412
NetZero2050,r.A,t.coal_extract,1999,220.7377864664898
NetZero2050,r.A,t.coal_extract,2000,215.33754856837407
NetZero2050,r.A,t.coal_extract,2001,205.62109660963716
NetZero2050,r.A,t.coal_extract,2002,199.30628660874262
NetZero2050,r.A,t.coal_extract,2003,195.148293600375
NetZero2050,r.A,t.coal_extract,2004,199.60283493445903
NetZero2050,r.A,t.coal_extract,2005,205.57260864325428
NetZero2050,r.A,t.coal_extract,2006,196.97413193246024
NetZero2050,r.A,t.coal_extract,2007,191.94975337316262
NetZero2050,r.A,t.coal_extract,2008,189.45407601655813
NetZero2050,r.A,t.coal_extract,2009,159.542691997642
NetZero2050,r.A,t.coal_extract,2010,180.33275070330018
NetZero2050,r.A,t.coal_extract,2011,185.1107548423735
NetZero2050,r.A,t.coal_extract,2012,189.73327079520786
NetZero2050,r.A,t.coal_extract,2013,159.62932599308115
NetZero2050,r.A,t.coal_extract,2014,148.8949973072463
NetZero2050,r.A,t.coal_extract,2015,144.65462974317796
NetZero2050,r.A,t.coal_extract,2016,125.63233349994458
NetZero2050,r.A,t.coal_extract,2017,125.07380146597302
NetZero2050,r.A,t.coal_extract,2018,113.98713796676034
NetZero2050,r.A,t.coal_extract,2019,85.04190338306823
NetZero2050,r.A,t.coal_extract,2051,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2052,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2053,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2054,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2055,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2056,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2057,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2058,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2059,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2060,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2061,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2062,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2063,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2064,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2065,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2066,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2067,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2068,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2069,0.7362258773144559
NetZero2050,r.A,t.coal_extract,2070,0.7362258773144559
NetZero2050,r.A,t.oil_extract,2020,882.7650856408297
NetZero2050,r.A,t.oil_extract,2021,854.4001036214383
NetZero2050,r.A,t.oil_extract,2022,789.9448465778197
NetZero2050,r.A,t.oil_extract,2023,769.3794388809986
NetZero2050,r.A,t.oil_extract,2024,744.9381309608098
NetZero2050,r.A,t.oil_extract,2025,723.8936382742634
NetZero2050,r.A,t.oil_extract,2026,701.8157759134351
NetZero2050,r.A,t.oil_extract,2027,684.6363725403401
NetZero2050,r.A,t.oil_extract,2028,669.0456585686716
NetZero2050,r.A,t.oil_extract,2029,653.4549445970032
NetZero2050,r.A,t.oil_extract,2030,637.8642306253349
NetZero2050,r.A,t.oil_extract,2031,617.401885537473
NetZero2050,r.A,t.oil_extract,2032,596.9395404496113
NetZero2050,r.A,t.oil_extract,2033,576.4771953617494
NetZero2050,r.A,t.oil_extract,2034,556.0148502738876
NetZero2050,r.A,t.oil_extract,2035,535.5525051860258
NetZero2050,r.A,t.oil_extract,2036,515.090160098164
NetZero2050,r.A,t.oil_extract,2037,494.6278150103022
NetZero2050,r.A,t.oil_extract,2038,474.1654699224403
NetZero2050,r.A,t.oil_extract,2039,453.7031248345786
NetZero2050,r.A,t.oil_extract,2040,433.2407797467167
NetZero2050,r.A,t.oil_extract,2041,387.4478459742555
NetZero2050,r.A,t.oil_extract,2042,346.55997777661116
NetZero2050,r.A,t.oil_extract,2043,310.035422077279
NetZero2050,r.A,t.oil_extract,2044,277.39313375246485
NetZero2050,r.A,t.oil_extract,2045,248.20589744919016
NetZero2050,r.A,t.oil_extract,2046,222.09423524730536
NetZero2050,r.A,t.oil_extract,2047,198.7210098078071
NetZero2050,r.A,t.oil_extract,2048,177.78664308995758
NetZero2050,r.A,t.oil_extract,2049,159.02487994902776
NetZero2050,r.A,t.oil_extract,2050,142.1990340858613
NetZero2050,r.A,t.oil_extract,1990,1476.819556700893
NetZero2050,r.A,t.oil_extract,1991,1466.1833822323215
NetZero2050,r.A,t.oil_extract,1992,1503.2499793543116
NetZero2050,r.A,t.oil_extract,1993,1495.6643583120836
NetZero2050,r.A,t.oil_extract,1994,1473.2221103138058
NetZero2050,r.A,t.oil_extract,1995,1464.0317388345914
NetZero2050,r.A,t.oil_extract,1996,1436.7041378908507
NetZero2050,r.A,t.oil_extract,1997,1500.5029125683473
NetZero2050,r.A,t.oil_extract,1998,1488.2270169988742
NetZero2050,r.A,t.oil_extract,1999,1396.4306862766866
NetZero2050,r.A,t.oil_extract,2000,1423.2671081590781
NetZero2050,r.A,t.oil_extract,2001,1498.5136790485842
NetZero2050,r.A,t.oil_extract,2002,1489.8594044540635
NetZero2050,r.A,t.oil_extract,2003,1455.9706375228047
NetZero2050,r.A,t.oil_extract,2004,1404.249008303321
NetZero2050,r.A,t.oil_extract,2005,1443.8801799977014
NetZero2050,r.A,t.oil_extract,2006,1440.7678558511072
NetZero2050,r.A,t.oil_extract,2007,1518.7359064624993
NetZero2050,r.A,t.oil_extract,2008,1467.642209671965
NetZero2050,r.A,t.oil_extract,2009,1391.0733132851697
NetZero2050,r.A,t.oil_extract,2010,1488.226429000627
NetZero2050,r.A,t.oil_extract,2011,1448.1259208124852
NetZero2050,r.A,t.oil_extract,2012,1405.7205227619243
NetZero2050,r.A,t.oil_extract,2013,1260.7261040512694
NetZero2050,r.A,t.oil_extract,2014,1230.514984717165
NetZero2050,r.A,t.oil_extract,2015,1378.8050567041957
NetZero2050,r.A,t.oil_extract,2016,1367.0477880461385
NetZero2050,r.A,t.oil_extract,2017,1373.3621052907947
NetZero2050,r.A,t.oil_extract,2018,1258.2100443852696
NetZero2050,r.A,t.oil_extract,2019,1054.9776751407653
NetZero2050,r.A,t.oil_extract,2051,142.1990340858613
NetZero2050,r.A,t.oil_extract,2052,142.1990340858613
NetZero2050,r.A,t.oil_extract,2053,142.1990340858613
NetZero2050,r.A,t.oil_extract,2054,142.1990340858613
NetZero2050,r.A,t.oil_extract,2055,142.1990340858613
NetZero2050,r.A,t.oil_extract,2056,142.1990340858613
NetZero2050,r.A,t.oil_extract,2057,142.1990340858613
NetZero2050,r.A,t.oil_extract,2058,142.1990340858613
NetZero2050,r.A,t.oil_extract,2059,142.1990340858613
