,,,,,value
stated_policies,r.A,f.coal_extract,1990,f.eCO2,75.0496230723945
stated_policies,r.A,f.coal_extract,1991,f.eCO2,74.66155437632278
stated_policies,r.A,f.coal_extract,1992,f.eCO2,78.77491061944275
stated_policies,r.A,f.coal_extract,1993,f.eCO2,76.33618753699567
stated_policies,r.A,f.coal_extract,1994,f.eCO2,78.25029229786827
stated_policies,r.A,f.coal_extract,1995,f.eCO2,79.92016850894521
stated_policies,r.A,f.coal_extract,1996,f.eCO2,83.78721906874442
stated_policies,r.A,f.coal_extract,1997,f.eCO2,86.63261537625868
stated_policies,r.A,f.coal_extract,1998,f.eCO2,92.33487220125589
stated_policies,r.A,f.coal_extract,1999,f.eCO2,90.66134425883783
stated_policies,r.A,f.coal_extract,2000,f.eCO2,88.45842365018825
stated_policies,r.A,f.coal_extract,2001,f.eCO2,84.482606814838
stated_policies,r.A,f.coal_extract,2002,f.eCO2,81.82711024569774
stated_policies,r.A,f.coal_extract,2003,f.eCO2,80.14401303591977
stated_policies,r.A,f.coal_extract,2004,f.eCO2,81.96771358347412
stated_policies,r.A,f.coal_extract,2005,f.eCO2,84.41123999488465
stated_policies,r.A,f.coal_extract,2006,f.eCO2,83.89601480671696
stated_policies,r.A,f.coal_extract,2007,f.eCO2,79.99580434809225
stated_policies,r.A,f.coal_extract,2008,f.eCO2,78.95849039005476
stated_policies,r.A,f.coal_extract,2009,f.eCO2,65.19923190107201
stated_policies,r.A,f.coal_extract,2010,f.eCO2,73.94286915075735
stated_policies,r.A,f.coal_extract,2011,f.eCO2,77.15899213323047
stated_policies,r.A,f.coal_extract,2012,f.eCO2,79.0843225302119
stated_policies,r.A,f.coal_extract,2013,f.eCO2,65.50063733603898
stated_policies,r.A,f.coal_extract,2014,f.eCO2,62.07464431122215
stated_policies,r.A,f.coal_extract,2015,f.eCO2,60.30848176869859
stated_policies,r.A,f.coal_extract,2016,f.eCO2,52.398740292020825
stated_policies,r.A,f.coal_extract,2017,f.eCO2,46.60013046127641
stated_policies,r.A,f.coal_extract,2018,f.eCO2,42.556817966092304
stated_policies,r.A,f.coal_extract,2019,f.eCO2,31.89948486757654
stated_policies,r.A,f.coal_extract,2020,f.eCO2,23.659204105301306
stated_policies,r.A,f.coal_extract,2021,f.eCO2,24.512374085240854
stated_policies,r.A,f.coal_extract,2022,f.eCO2,12.268327793764467
stated_policies,r.A,f.coal_extract,2023,f.eCO2,9.02501715952527
stated_policies,r.A,f.coal_extract,2024,f.eCO2,5.413680125243528
stated_policies,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
stated_policies,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
stated_policies,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
stated_policies,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
stated_policies,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
stated_policies,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
stated_policies,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
stated_policies,r.A,f.coal_extract,2032,f.eCO2,3.5267971557520856
stated_policies,r.A,f.coal_extract,2033,f.eCO2,3.314467400414001
stated_policies,r.A,f.coal_extract,2034,f.eCO2,3.102137645075916
stated_policies,r.A,f.coal_extract,2035,f.eCO2,2.8898078897378325
stated_policies,r.A,f.coal_extract,2036,f.eCO2,2.6774781343997476
stated_policies,r.A,f.coal_extract,2037,f.eCO2,2.465148379061663
stated_policies,r.A,f.coal_extract,2038,f.eCO2,2.252818623723579
stated_policies,r.A,f.coal_extract,2039,f.eCO2,2.0404888683854945
stated_policies,r.A,f.coal_extract,2040,f.eCO2,1.8281591130474097
stated_policies,r.A,f.coal_extract,2041,f.eCO2,1.5284362192565248
stated_policies,r.A,f.coal_extract,2042,f.eCO2,1.2780673114044918
stated_policies,r.A,f.coal_extract,2043,f.eCO2,1.0688933113859456
stated_policies,r.A,f.coal_extract,2044,f.eCO2,0.8941087757196605
stated_policies,r.A,f.coal_extract,2045,f.eCO2,0.7480366084442908
stated_policies,r.A,f.coal_extract,2046,f.eCO2,0.6259403741206843
stated_policies,r.A,f.coal_extract,2047,f.eCO2,0.5238679200109905
stated_policies,r.A,f.coal_extract,2048,f.eCO2,0.4385210713320011
stated_policies,r.A,f.coal_extract,2049,f.eCO2,0.367147041105215
stated_policies,r.A,f.coal_extract,2050,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2051,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2052,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2053,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2054,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2055,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2056,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2057,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2058,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2059,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2060,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2061,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2062,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2063,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2064,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2065,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2066,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2067,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2068,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2069,f.eCO2,0.3074479263665168
stated_policies,r.A,f.coal_extract,2070,f.eCO2,0.3074479263665168
stated_policies,r.A,f.oil_extract,1990,f.eCO2,448.8221776628007
stated_policies,r.A,f.oil_extract,1991,f.eCO2,445.6033332469932
stated_policies,r.A,f.oil_extract,1992,f.eCO2,456.85296951159665
stated_policies,r.A,f.oil_extract,1993,f.eCO2,454.5677152996618
stated_policies,r.A,f.oil_extract,1994,f.eCO2,447.74696712623586
stated_policies,r.A,f.oil_extract,1995,f.eCO2,444.9165928185084
stated_policies,r.A,f.oil_extract,1996,f.eCO2,436.6178598495073
stated_policies,r.A,f.oil_extract,1997,f.eCO2,456.04800036364435
stated_policies,r.A,f.oil_extract,1998,f.eCO2,452.3219981776878
stated_policies,r.A,f.oil_extract,1999,f.eCO2,424.45910688866326
stated_policies,r.A,f.oil_extract,2000,f.eCO2,423.89012800693234
stated_policies,r.A,f.oil_extract,2001,f.eCO2,446.2355906693618
stated_policies,r.A,f.oil_extract,2002,f.eCO2,443.7612411520379
stated_policies,r.A,f.oil_extract,2003,f.eCO2,433.8802088639413
stated_policies,r.A,f.oil_extract,2004,f.eCO2,426.91878006334707
stated_policies,r.A,f.oil_extract,2005,f.eCO2,438.9423869573193
stated_policies,r.A,f.oil_extract,2006,f.eCO2,437.98386274388156
stated_policies,r.A,f.oil_extract,2007,f.eCO2,461.6583194427243
stated_policies,r.A,f.oil_extract,2008,f.eCO2,446.110105725272
stated_policies,r.A,f.oil_extract,2009,f.eCO2,422.8083532467648
stated_policies,r.A,f.oil_extract,2010,f.eCO2,452.2829845543132
stated_policies,r.A,f.oil_extract,2011,f.eCO2,440.09050899353474
stated_policies,r.A,f.oil_extract,2012,f.eCO2,427.225786911833
stated_policies,r.A,f.oil_extract,2013,f.eCO2,383.14847303259455
stated_policies,r.A,f.oil_extract,2014,f.eCO2,373.96040111337544
stated_policies,r.A,f.oil_extract,2015,f.eCO2,418.904579200685
stated_policies,r.A,f.oil_extract,2016,f.eCO2,415.17045692920425
stated_policies,r.A,f.oil_extract,2017,f.eCO2,416.3648047272888
stated_policies,r.A,f.oil_extract,2018,f.eCO2,378.87291449246675
stated_policies,r.A,f.oil_extract,2019,f.eCO2,312.7487055869908
stated_policies,r.A,f.oil_extract,2020,f.eCO2,265.0979503578708
stated_policies,r.A,f.oil_extract,2021,f.eCO2,256.9865970498325
stated_policies,r.A,f.oil_extract,2022,f.eCO2,239.87892859757997
stated_policies,r.A,f.oil_extract,2023,f.eCO2,232.61130015910413
stated_policies,r.A,f.oil_extract,2024,f.eCO2,223.54377625744743
stated_policies,r.A,f.oil_extract,2025,f.eCO2,217.75177490713443
stated_policies,r.A,f.oil_extract,2026,f.eCO2,213.00907971695293
stated_policies,r.A,f.oil_extract,2027,f.eCO2,208.26638452677147
stated_policies,r.A,f.oil_extract,2028,f.eCO2,203.5236893365899
stated_policies,r.A,f.oil_extract,2029,f.eCO2,198.78099414640837
stated_policies,r.A,f.oil_extract,2030,f.eCO2,194.0382989562269
stated_policies,r.A,f.oil_extract,2031,f.eCO2,187.8136535804993
stated_policies,r.A,f.oil_extract,2032,f.eCO2,181.58900820477177
stated_policies,r.A,f.oil_extract,2033,f.eCO2,175.36436282904418
stated_policies,r.A,f.oil_extract,2034,f.eCO2,169.13971745331665
stated_policies,r.A,f.oil_extract,2035,f.eCO2,162.91507207758906
stated_policies,r.A,f.oil_extract,2036,f.eCO2,156.6904267018615
