,,,,,value
stated_policies,r.A,f.elect,2020,1,0.030207846517291498
stated_policies,r.A,f.elect,2020,2,0.02856505396765694
stated_policies,r.A,f.elect,2020,3,0.027678139969169683
stated_policies,r.A,f.elect,2020,4,0.02735227829724074
stated_policies,r.A,f.elect,2020,5,0.027782168171519815
stated_policies,r.A,f.elect,2020,6,0.029411119673083214
stated_policies,r.A,f.elect,2020,7,0.03320169125784703
stated_policies,r.A,f.elect,2020,8,0.03778281583140139
stated_policies,r.A,f.elect,2020,9,0.04132647677752327
stated_policies,r.A,f.elect,2020,10,0.04299110147832387
stated_policies,r.A,f.elect,2020,11,0.04328818696521898
stated_policies,r.A,f.elect,2020,12,0.04289149948846476
stated_policies,r.A,f.elect,2020,13,0.04196687295863259
stated_policies,r.A,f.elect,2020,14,0.041465859773180756
stated_policies,r.A,f.elect,2020,15,0.041655907500848764
stated_policies,r.A,f.elect,2020,16,0.04166894932096618
stated_policies,r.A,f.elect,2020,17,0.041558123276093956
stated_policies,r.A,f.elect,2020,18,0.04172253391540952
stated_policies,r.A,f.elect,2020,19,0.042554435912978944
stated_policies,r.A,f.elect,2020,20,0.04299467478823417
stated_policies,r.A,f.elect,2020,21,0.04166180840257404
stated_policies,r.A,f.elect,2020,22,0.03882680388945506
stated_policies,r.A,f.elect,2020,23,0.035786920488766846
stated_policies,r.A,f.elect,2020,24,0.03252684784796942
stated_policies,r.A,f.elect,2021,1,0.030479409539975768
stated_policies,r.A,f.elect,2021,2,0.028891114713365675
stated_policies,r.A,f.elect,2021,3,0.027994195531226555
stated_policies,r.A,f.elect,2021,4,0.02766465784800651
stated_policies,r.A,f.elect,2021,5,0.02809939726479977
stated_policies,r.A,f.elect,2021,6,0.02983236696059694
stated_policies,r.A,f.elect,2021,7,0.033580057421773474
stated_policies,r.A,f.elect,2021,8,0.03812817436008844
stated_policies,r.A,f.elect,2021,9,0.041796497793434355
stated_policies,r.A,f.elect,2021,10,0.04347990095062527
stated_policies,r.A,f.elect,2021,11,0.043865979991147615
stated_policies,r.A,f.elect,2021,12,0.043379175361181174
stated_policies,r.A,f.elect,2021,13,0.04235943139626033
stated_policies,r.A,f.elect,2021,14,0.042023095317481204
stated_policies,r.A,f.elect,2021,15,0.04212964479014486
stated_policies,r.A,f.elect,2021,16,0.04222847589712178
stated_policies,r.A,f.elect,2021,17,0.04194607065148982
stated_policies,r.A,f.elect,2021,18,0.04219702281028953
stated_policies,r.A,f.elect,2021,19,0.043038309406906936
stated_policies,r.A,f.elect,2021,20,0.04348446991379361
stated_policies,r.A,f.elect,2021,21,0.04222125442277938
stated_policies,r.A,f.elect,2021,22,0.039269581701216694
stated_policies,r.A,f.elect,2021,23,0.036109763531751174
stated_policies,r.A,f.elect,2021,24,0.032983243337734364
stated_policies,r.A,f.elect,2022,1,0.030679560634527207
stated_policies,r.A,f.elect,2022,2,0.02925428128190958
stated_policies,r.A,f.elect,2022,3,0.02839734095593227
stated_policies,r.A,f.elect,2022,4,0.028064127264182923
stated_policies,r.A,f.elect,2022,5,0.02850371621984675
stated_policies,r.A,f.elect,2022,6,0.03017612398118405
stated_policies,r.A,f.elect,2022,7,0.0338483506281969
stated_policies,r.A,f.elect,2022,8,0.03842543475068598
stated_policies,r.A,f.elect,2022,9,0.04204904700055731
stated_policies,r.A,f.elect,2022,10,0.04396602616487967
stated_policies,r.A,f.elect,2022,11,0.044356411935461186
stated_policies,r.A,f.elect,2022,12,0.04364937941184534
