,,,,,value
NetZero2050,r.A,f.elect,2020,1,0.037534474359752754
NetZero2050,r.A,f.elect,2020,2,0.02875778566315073
NetZero2050,r.A,f.elect,2020,3,0.025002784407130198
NetZero2050,r.A,f.elect,2020,4,0.028864595918948383
NetZero2050,r.A,f.elect,2020,5,0.03268506093650525
NetZero2050,r.A,f.elect,2020,6,0.02839670523327211
NetZero2050,r.A,f.elect,2020,7,0.027550273609769107
NetZero2050,r.A,f.elect,2020,8,0.04510944425970276
NetZero2050,r.A,f.elect,2020,9,0.034441870293045566
NetZero2050,r.A,f.elect,2020,10,0.05031773030942854
NetZero2050,r.A,f.elect,2020,11,0.037593275409412395
NetZero2050,r.A,f.elect,2020,12,0.050218128311866325
NetZero2050,r.A,f.elect,2020,13,0.038121251901254996
NetZero2050,r.A,f.elect,2020,14,0.048877175313206886
NetZero2050,r.A,f.elect,2020,15,0.04187691863526992
NetZero2050,r.A,f.elect,2020,16,0.03486902968985699
NetZero2050,r.A,f.elect,2020,17,0.046234977148756504
NetZero2050,r.A,f.elect,2020,18,0.03483792746156268
NetZero2050,r.A,f.elect,2020,19,0.045287436719316454
NetZero2050,r.A,f.elect,2020,20,0.03619475525965518
NetZero2050,r.A,f.elect,2020,21,0.04620890208325714
NetZero2050,r.A,f.elect,2020,22,0.032026884038537345
NetZero2050,r.A,f.elect,2020,23,0.043113548762707773
NetZero2050,r.A,f.elect,2020,24,0.028728934629509238
NetZero2050,r.A,f.elect,2021,1,0.04647702673132442
NetZero2050,r.A,f.elect,2021,2,0.0273657594434747
NetZero2050,r.A,f.elect,2021,3,0.02889759288218479
NetZero2050,r.A,f.elect,2021,4,0.025710585759297827
NetZero2050,r.A,f.elect,2021,5,0.042779630105387934
NetZero2050,r.A,f.elect,2021,6,0.02592051653847845
NetZero2050,r.A,f.elect,2021,7,0.04903128145855397
NetZero2050,r.A,f.elect,2021,8,0.03063761904790873
NetZero2050,r.A,f.elect,2021,9,0.03385462114634073
NetZero2050,r.A,f.elect,2021,10,0.053870235646469145
NetZero2050,r.A,f.elect,2021,11,0.037720101594198405
NetZero2050,r.A,f.elect,2021,12,0.05944595570036708
NetZero2050,r.A,f.elect,2021,13,0.03748659564121798
NetZero2050,r.A,f.elect,2021,14,0.0571981720670914
NetZero2050,r.A,f.elect,2021,15,0.03330962307492018
NetZero2050,r.A,f.elect,2021,16,0.033949832403277605
NetZero2050,r.A,f.elect,2021,17,0.045140567430784206
NetZero2050,r.A,f.elect,2021,18,0.04731060359243337
NetZero2050,r.A,f.elect,2021,19,0.025225441562399684
NetZero2050,r.A,f.elect,2021,20,0.04637538308458585
NetZero2050,r.A,f.elect,2021,21,0.025023880166266423
NetZero2050,r.A,f.elect,2021,22,0.04637658830691928
NetZero2050,r.A,f.elect,2021,23,0.025083139526297777
NetZero2050,r.A,f.elect,2021,24,0.02887454583589286
NetZero2050,r.A,f.elect,2022,1,0.03206085124396289
NetZero2050,r.A,f.elect,2022,2,0.03380609279809961
NetZero2050,r.A,f.elect,2022,3,0.032061384529655006
NetZero2050,r.A,f.elect,2022,4,0.032038683655802515
NetZero2050,r.A,f.elect,2022,5,0.032122447646858024
NetZero2050,r.A,f.elect,2022,6,0.032846180507277674
NetZero2050,r.A,f.elect,2022,7,0.03461631744213417
