,,,,,value
stated_policies,r.A,f.coal_extract,1990,f.eCO2,75.66307132891431
stated_policies,r.A,f.coal_extract,1991,f.eCO2,75.2897510617966
stated_policies,r.A,f.coal_extract,1992,f.eCO2,79.42522053806073
stated_policies,r.A,f.coal_extract,1993,f.eCO2,76.99118922515768
stated_policies,r.A,f.coal_extract,1994,f.eCO2,95.91205542918095
stated_policies,r.A,f.coal_extract,1995,f.eCO2,96.98280420475743
stated_policies,r.A,f.coal_extract,1996,f.eCO2,96.99610215332854
stated_policies,r.A,f.coal_extract,1997,f.eCO2,98.15737187515431
stated_policies,r.A,f.coal_extract,1998,f.eCO2,94.3303186561352
stated_policies,r.A,f.coal_extract,1999,f.eCO2,92.5896402018363
stated_policies,r.A,f.coal_extract,2000,f.eCO2,90.32041979146288
stated_policies,r.A,f.coal_extract,2001,f.eCO2,86.24077878764997
stated_policies,r.A,f.coal_extract,2002,f.eCO2,83.60868439592545
stated_policies,r.A,f.coal_extract,2003,f.eCO2,81.85793909557572
stated_policies,r.A,f.coal_extract,2004,f.eCO2,83.72800226964772
stated_policies,r.A,f.coal_extract,2005,f.eCO2,86.23431452329694
stated_policies,r.A,f.coal_extract,2006,f.eCO2,85.70855905842761
stated_policies,r.A,f.coal_extract,2007,f.eCO2,83.16249857844342
stated_policies,r.A,f.coal_extract,2008,f.eCO2,79.08076268394944
stated_policies,r.A,f.coal_extract,2009,f.eCO2,69.20800631822635
stated_policies,r.A,f.coal_extract,2010,f.eCO2,75.30655445972951
stated_policies,r.A,f.coal_extract,2011,f.eCO2,77.27013161743842
stated_policies,r.A,f.coal_extract,2012,f.eCO2,79.19943990970724
stated_policies,r.A,f.coal_extract,2013,f.eCO2,71.86496771176029
stated_policies,r.A,f.coal_extract,2014,f.eCO2,62.15556988094999
stated_policies,r.A,f.coal_extract,2015,f.eCO2,60.42608081666753
stated_policies,r.A,f.coal_extract,2016,f.eCO2,52.47606775503461
stated_policies,r.A,f.coal_extract,2017,f.eCO2,46.668238263132224
stated_policies,r.A,f.coal_extract,2018,f.eCO2,42.616373827163855
stated_policies,r.A,f.coal_extract,2019,f.eCO2,31.84741124887138
stated_policies,r.A,f.coal_extract,2020,f.eCO2,23.652507701031553
stated_policies,r.A,f.coal_extract,2021,f.eCO2,24.476732130325342
stated_policies,r.A,f.coal_extract,2022,f.eCO2,10.875400874246909
stated_policies,r.A,f.coal_extract,2023,f.eCO2,5.936900646179257
stated_policies,r.A,f.coal_extract,2024,f.eCO2,4.640727100343435
stated_policies,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
stated_policies,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
stated_policies,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
stated_policies,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
stated_policies,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
stated_policies,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
stated_policies,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
