,,,,,,value
stated_policies,r.A,f.coal_extract,1990,r.A,s.DAC,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.biomass_ref,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.blender,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.coal_extract,181.18551563437336
stated_policies,r.A,f.coal_extract,1990,r.A,s.coal_ref,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.elect,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.elect_storage,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.elect_trans,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.forestry,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.hydrogen,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.hydrogen_storage,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.natgas_extract,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.oil_extract,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.oil_ref,0.0
stated_policies,r.A,f.coal_extract,1990,r.A,s.uranium,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.DAC,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.biomass_ref,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.blender,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.coal_extract,180.29154947748225
stated_policies,r.A,f.coal_extract,1991,r.A,s.coal_ref,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.elect,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.elect_storage,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.elect_trans,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.forestry,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.hydrogen,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.hydrogen_storage,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.natgas_extract,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.oil_extract,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.oil_ref,0.0
stated_policies,r.A,f.coal_extract,1991,r.A,s.uranium,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.DAC,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.biomass_ref,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.blender,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.coal_extract,190.19449362562435
stated_policies,r.A,f.coal_extract,1992,r.A,s.coal_ref,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.elect,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.elect_storage,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.elect_trans,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.forestry,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.hydrogen,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.hydrogen_storage,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.natgas_extract,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.oil_extract,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.oil_ref,0.0
stated_policies,r.A,f.coal_extract,1992,r.A,s.uranium,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.DAC,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.biomass_ref,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.blender,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.coal_extract,184.3658745813163
stated_policies,r.A,f.coal_extract,1993,r.A,s.coal_ref,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.elect,0.0
stated_policies,r.A,f.coal_extract,1993,r.A,s.elect_storage,0.0
