,,,,value
stated_policies_inv_cap,r.A,t.elect_coal,1990,0.005046650751516623
stated_policies_inv_cap,r.A,t.elect_coal,1991,0.005046650751516623
stated_policies_inv_cap,r.A,t.elect_coal,1992,0.005046650751516623
stated_policies_inv_cap,r.A,t.elect_coal,1993,0.005046650751516623
stated_policies_inv_cap,r.A,t.elect_coal,1994,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,1995,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,1996,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,1997,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,1998,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,1999,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,2000,0.007358237499475796
stated_policies_inv_cap,r.A,t.elect_coal,2001,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2002,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2003,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2004,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2005,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2006,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2007,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2008,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2009,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2010,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2011,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2012,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2013,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2014,0.007358237499475795
stated_policies_inv_cap,r.A,t.elect_coal,2015,0.007307261229258455
stated_policies_inv_cap,r.A,t.elect_coal,2016,0.0072053086888237755
stated_policies_inv_cap,r.A,t.elect_coal,2017,0.006797498527085059
stated_policies_inv_cap,r.A,t.elect_coal,2018,0.005421139231216889
stated_policies_inv_cap,r.A,t.elect_coal,2019,0.00289995262947675
stated_policies_inv_cap,r.A,t.elect_coal,2020,0.0022415386646876833
stated_policies_inv_cap,r.A,t.elect_coal,2021,0.00205474377596371
stated_policies_inv_cap,r.A,t.elect_coal,2022,0.001424311026520299
stated_policies_inv_cap,r.A,t.elect_coal,2023,0.0002801923330859608
stated_policies_inv_cap,r.A,t.elect_coal,2024,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2025,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2026,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2027,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2028,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2029,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2030,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2031,0.0
stated_policies_inv_cap,r.A,t.elect_coal,2032,0.0
