,,,,,value
stated_policies_inv_cap,r.A,f.elect,2020,1,0.030163916206165497
stated_policies_inv_cap,r.A,f.elect,2020,2,0.028521124812159012
stated_policies_inv_cap,r.A,f.elect,2020,3,0.02763421143757445
stated_policies_inv_cap,r.A,f.elect,2020,4,0.027308349994874026
stated_policies_inv_cap,r.A,f.elect,2020,5,0.027738239566745586
stated_policies_inv_cap,r.A,f.elect,2020,6,0.029451876683176666
stated_policies_inv_cap,r.A,f.elect,2020,7,0.033212991008461416
stated_policies_inv_cap,r.A,f.elect,2020,8,0.03773888019163717
stated_policies_inv_cap,r.A,f.elect,2020,9,0.04128253864495855
stated_policies_inv_cap,r.A,f.elect,2020,10,0.042947162174773186
stated_policies_inv_cap,r.A,f.elect,2020,11,0.043328934213441694
stated_policies_inv_cap,r.A,f.elect,2020,12,0.04284756025497945
stated_policies_inv_cap,r.A,f.elect,2020,13,0.04192293437557898
stated_policies_inv_cap,r.A,f.elect,2020,14,0.04150660830332581
stated_policies_inv_cap,r.A,f.elect,2020,15,0.041611969136544885
stated_policies_inv_cap,r.A,f.elect,2020,16,0.041709697708247194
stated_policies_inv_cap,r.A,f.elect,2020,17,0.04151418498057672
stated_policies_inv_cap,r.A,f.elect,2020,18,0.041678595504237054
stated_policies_inv_cap,r.A,f.elect,2020,19,0.04251049691660214
stated_policies_inv_cap,r.A,f.elect,2020,20,0.043035422242929035
stated_policies_inv_cap,r.A,f.elect,2020,21,0.04170255679487835
stated_policies_inv_cap,r.A,f.elect,2020,22,0.038867554276053054
stated_policies_inv_cap,r.A,f.elect,2020,23,0.035742986253022066
stated_policies_inv_cap,r.A,f.elect,2020,24,0.03256760266629316
stated_policies_inv_cap,r.A,f.elect,2021,1,0.03058499548604901
stated_policies_inv_cap,r.A,f.elect,2021,2,0.028923671866163264
stated_policies_inv_cap,r.A,f.elect,2021,3,0.028026753277859588
stated_policies_inv_cap,r.A,f.elect,2021,4,0.027697215812820787
stated_policies_inv_cap,r.A,f.elect,2021,5,0.028131954941780446
stated_policies_inv_cap,r.A,f.elect,2021,6,0.02986492349020748
stated_policies_inv_cap,r.A,f.elect,2021,7,0.033612611470101195
stated_policies_inv_cap,r.A,f.elect,2021,8,0.038245412161447175
stated_policies_inv_cap,r.A,f.elect,2021,9,0.04182904640179512
stated_policies_inv_cap,r.A,f.elect,2021,10,0.043512448444433124
stated_policies_inv_cap,r.A,f.elect,2021,11,0.04389852722933901
stated_policies_inv_cap,r.A,f.elect,2021,12,0.04341172292167775
stated_policies_inv_cap,r.A,f.elect,2021,13,0.042476666396174964
stated_policies_inv_cap,r.A,f.elect,2021,14,0.042055643775815554
stated_policies_inv_cap,r.A,f.elect,2021,15,0.0421621931779346
stated_policies_inv_cap,r.A,f.elect,2021,16,0.042261024219477104
stated_policies_inv_cap,r.A,f.elect,2021,17,0.04206330592508363
stated_policies_inv_cap,r.A,f.elect,2021,18,0.04222957115346942
stated_policies_inv_cap,r.A,f.elect,2021,19,0.04307085719308511
stated_policies_inv_cap,r.A,f.elect,2021,20,0.04360170416883914
stated_policies_inv_cap,r.A,f.elect,2021,21,0.042253802749915914
stated_policies_inv_cap,r.A,f.elect,2021,22,0.03938681874686883
stated_policies_inv_cap,r.A,f.elect,2021,23,0.03622700266946576
stated_policies_inv_cap,r.A,f.elect,2021,24,0.03301579778120265
stated_policies_inv_cap,r.A,f.elect,2022,1,0.030853025653527683
stated_policies_inv_cap,r.A,f.elect,2022,2,0.029173169807762692
stated_policies_inv_cap,r.A,f.elect,2022,3,0.02826624600573969
stated_policies_inv_cap,r.A,f.elect,2022,4,0.027933032518362745
stated_policies_inv_cap,r.A,f.elect,2022,5,0.02837262120441049
stated_policies_inv_cap,r.A,f.elect,2022,6,0.03012492118483348
stated_policies_inv_cap,r.A,f.elect,2022,7,0.033914414987107004
stated_policies_inv_cap,r.A,f.elect,2022,8,0.03859889501885236
stated_policies_inv_cap,r.A,f.elect,2022,9,0.04222250504622687
stated_policies_inv_cap,r.A,f.elect,2022,10,0.043924685601688225
stated_policies_inv_cap,r.A,f.elect,2022,11,0.04431507113283155
stated_policies_inv_cap,r.A,f.elect,2022,12,0.043822836475971225
stated_policies_inv_cap,r.A,f.elect,2022,13,0.042877349304366104
stated_policies_inv_cap,r.A,f.elect,2022,14,0.04245163013590049
stated_policies_inv_cap,r.A,f.elect,2022,15,0.04255936810691949
stated_policies_inv_cap,r.A,f.elect,2022,16,0.04265930161830221
stated_policies_inv_cap,r.A,f.elect,2022,17,0.04245937775718575
stated_policies_inv_cap,r.A,f.elect,2022,18,0.04262749769029697
stated_policies_inv_cap,r.A,f.elect,2022,19,0.043478168357163255
stated_policies_inv_cap,r.A,f.elect,2022,20,0.044014936982344426
stated_policies_inv_cap,r.A,f.elect,2022,21,0.04265199959254868
stated_policies_inv_cap,r.A,f.elect,2022,22,0.03975303410527978
stated_policies_inv_cap,r.A,f.elect,2022,23,0.03655796997350466
stated_policies_inv_cap,r.A,f.elect,2022,24,0.03331094378370733
stated_policies_inv_cap,r.A,f.elect,2023,1,0.031197618767234262
stated_policies_inv_cap,r.A,f.elect,2023,2,0.029499230695590017
stated_policies_inv_cap,r.A,f.elect,2023,3,0.028640496584694176
stated_policies_inv_cap,r.A,f.elect,2023,4,0.02832195924966843
stated_policies_inv_cap,r.A,f.elect,2023,5,0.028745292823193234
stated_policies_inv_cap,r.A,f.elect,2023,6,0.030461481825687385
stated_policies_inv_cap,r.A,f.elect,2023,7,0.034292781450340724
stated_policies_inv_cap,r.A,f.elect,2023,8,0.039028940822485446
stated_policies_inv_cap,r.A,f.elect,2023,9,0.042692526636886524
stated_policies_inv_cap,r.A,f.elect,2023,10,0.04441348570517124
stated_policies_inv_cap,r.A,f.elect,2023,11,0.044808177982551975
stated_policies_inv_cap,r.A,f.elect,2023,12,0.04431051297649262
stated_policies_inv_cap,r.A,f.elect,2023,13,0.043354595158785154
stated_policies_inv_cap,r.A,f.elect,2023,14,0.04292417944221334
stated_policies_inv_cap,r.A,f.elect,2023,15,0.043033105982132294
stated_policies_inv_cap,r.A,f.elect,2023,16,0.04313414196335524
stated_policies_inv_cap,r.A,f.elect,2023,17,0.04293201253551576
stated_policies_inv_cap,r.A,f.elect,2023,18,0.04310198717335245
stated_policies_inv_cap,r.A,f.elect,2023,19,0.043962042467469306
stated_policies_inv_cap,r.A,f.elect,2023,20,0.04450473274207761
stated_policies_inv_cap,r.A,f.elect,2023,21,0.04312675938140932
stated_policies_inv_cap,r.A,f.elect,2023,22,0.04019581240991864
stated_policies_inv_cap,r.A,f.elect,2023,23,0.036965500223771444
stated_policies_inv_cap,r.A,f.elect,2023,24,0.033682652732439894
stated_policies_inv_cap,r.A,f.elect,2024,1,0.031618759798236334
stated_policies_inv_cap,r.A,f.elect,2024,2,0.029901839500712846
stated_policies_inv_cap,r.A,f.elect,2024,3,0.02897490527125139
stated_policies_inv_cap,r.A,f.elect,2024,4,0.02863433973919794
stated_policies_inv_cap,r.A,f.elect,2024,5,0.029083627539421866
stated_policies_inv_cap,r.A,f.elect,2024,6,0.030874590383836765
stated_policies_inv_cap,r.A,f.elect,2024,7,0.034738251370884585
stated_policies_inv_cap,r.A,f.elect,2024,8,0.03945898746387819
stated_policies_inv_cap,r.A,f.elect,2024,9,0.04316254906530584
stated_policies_inv_cap,r.A,f.elect,2024,10,0.044902286646413894
stated_policies_inv_cap,r.A,f.elect,2024,11,0.045311756524128735
stated_policies_inv_cap,r.A,f.elect,2024,12,0.0448747373943095
stated_policies_inv_cap,r.A,f.elect,2024,13,0.04390838893049971
stated_policies_inv_cap,r.A,f.elect,2024,14,0.04340759057378747
stated_policies_inv_cap,r.A,f.elect,2024,15,0.043506844695104754
stated_policies_inv_cap,r.A,f.elect,2024,16,0.0436089831461679
stated_policies_inv_cap,r.A,f.elect,2024,17,0.04340464815160542
stated_policies_inv_cap,r.A,f.elect,2024,18,0.043576477494167556
stated_policies_inv_cap,r.A,f.elect,2024,19,0.04444591741553499
stated_policies_inv_cap,r.A,f.elect,2024,20,0.04499452933957044
stated_policies_inv_cap,r.A,f.elect,2024,21,0.04360152000802963
stated_policies_inv_cap,r.A,f.elect,2024,22,0.040638591552317145
stated_policies_inv_cap,r.A,f.elect,2024,23,0.03737303131179788
stated_policies_inv_cap,r.A,f.elect,2024,24,0.03405436251893211
stated_policies_inv_cap,r.A,f.elect,2025,1,0.03196335374970257
stated_policies_inv_cap,r.A,f.elect,2025,2,0.030227901226299817
stated_policies_inv_cap,r.A,f.elect,2025,3,0.02929096178311915
stated_policies_inv_cap,r.A,f.elect,2025,4,0.028946720228727442
stated_policies_inv_cap,r.A,f.elect,2025,5,0.029400857586039456
stated_policies_inv_cap,r.A,f.elect,2025,6,0.031211151862450316
stated_policies_inv_cap,r.A,f.elect,2025,7,0.03512606313186332
stated_policies_inv_cap,r.A,f.elect,2025,8,0.03988903410527094
stated_policies_inv_cap,r.A,f.elect,2025,9,0.04363257149372515
stated_policies_inv_cap,r.A,f.elect,2025,10,0.04539108758765655
stated_policies_inv_cap,r.A,f.elect,2025,11,0.04583102917382556
stated_policies_inv_cap,r.A,f.elect,2025,12,0.045362414732590554
stated_policies_inv_cap,r.A,f.elect,2025,13,0.04438563562267841
