,,,,,value
NetZero2050,r.A,f.coal_extract,1990,f.eCO2,74.68330402090561
NetZero2050,r.A,f.coal_extract,1991,f.eCO2,74.28642833834735
NetZero2050,r.A,f.coal_extract,1992,f.eCO2,78.38657972106608
NetZero2050,r.A,f.coal_extract,1993,f.eCO2,75.94505496048083
NetZero2050,r.A,f.coal_extract,1994,f.eCO2,82.31740699327298
NetZero2050,r.A,f.coal_extract,1995,f.eCO2,81.97541473892974
NetZero2050,r.A,f.coal_extract,1996,f.eCO2,85.58279712430686
NetZero2050,r.A,f.coal_extract,1997,f.eCO2,88.40206728549143
NetZero2050,r.A,f.coal_extract,1998,f.eCO2,92.29879747164239
NetZero2050,r.A,f.coal_extract,1999,f.eCO2,90.62648351146554
NetZero2050,r.A,f.coal_extract,2000,f.eCO2,88.4247615054719
NetZero2050,r.A,f.coal_extract,2001,f.eCO2,84.45082165799846
NetZero2050,r.A,f.coal_extract,2002,f.eCO2,81.7949020119971
NetZero2050,r.A,f.coal_extract,2003,f.eCO2,80.11302777994939
NetZero2050,r.A,f.coal_extract,2004,f.eCO2,81.93589015957811
NetZero2050,r.A,f.coal_extract,2005,f.eCO2,84.37828149553884
NetZero2050,r.A,f.coal_extract,2006,f.eCO2,83.86324667924701
NetZero2050,r.A,f.coal_extract,2007,f.eCO2,79.91269873887414
NetZero2050,r.A,f.coal_extract,2008,f.eCO2,78.89638307063524
NetZero2050,r.A,f.coal_extract,2009,f.eCO2,62.30726427873282
NetZero2050,r.A,f.coal_extract,2010,f.eCO2,68.50299715413145
NetZero2050,r.A,f.coal_extract,2011,f.eCO2,77.12888977156547
NetZero2050,r.A,f.coal_extract,2012,f.eCO2,79.05327482725158
NetZero2050,r.A,f.coal_extract,2013,f.eCO2,65.42523019537735
NetZero2050,r.A,f.coal_extract,2014,f.eCO2,62.649777466583416
NetZero2050,r.A,f.coal_extract,2015,f.eCO2,60.42072248755005
NetZero2050,r.A,f.coal_extract,2016,f.eCO2,52.47246351567886
NetZero2050,r.A,f.coal_extract,2017,f.eCO2,46.665376452686104
NetZero2050,r.A,f.coal_extract,2018,f.eCO2,42.614594637632315
NetZero2050,r.A,f.coal_extract,2019,f.eCO2,31.84720002080143
NetZero2050,r.A,f.coal_extract,2020,f.eCO2,23.652507701031556
NetZero2050,r.A,f.coal_extract,2021,f.eCO2,24.476732130325345
NetZero2050,r.A,f.coal_extract,2022,f.eCO2,11.895476075000305
NetZero2050,r.A,f.coal_extract,2023,f.eCO2,8.214780437692175
NetZero2050,r.A,f.coal_extract,2024,f.eCO2,5.211277636358055
NetZero2050,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
NetZero2050,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
NetZero2050,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
NetZero2050,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
NetZero2050,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
NetZero2050,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
NetZero2050,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
NetZero2050,r.A,f.coal_extract,2032,f.eCO2,3.5267971557520856
NetZero2050,r.A,f.coal_extract,2033,f.eCO2,3.314467400414001
NetZero2050,r.A,f.coal_extract,2034,f.eCO2,3.102137645075916
NetZero2050,r.A,f.coal_extract,2035,f.eCO2,2.8898078897378325
NetZero2050,r.A,f.coal_extract,2036,f.eCO2,2.6774781343997476
NetZero2050,r.A,f.coal_extract,2037,f.eCO2,2.465148379061663
NetZero2050,r.A,f.coal_extract,2038,f.eCO2,2.252818623723579
NetZero2050,r.A,f.coal_extract,2039,f.eCO2,2.0404888683854945
NetZero2050,r.A,f.coal_extract,2040,f.eCO2,1.8281591130474097
NetZero2050,r.A,f.coal_extract,2041,f.eCO2,1.5284362192565248
NetZero2050,r.A,f.coal_extract,2042,f.eCO2,1.2780673114044918
NetZero2050,r.A,f.coal_extract,2043,f.eCO2,1.0688933113859456
NetZero2050,r.A,f.coal_extract,2044,f.eCO2,0.8941087757196605
NetZero2050,r.A,f.coal_extract,2045,f.eCO2,0.7480366084442908
NetZero2050,r.A,f.coal_extract,2046,f.eCO2,0.6259403741206843
NetZero2050,r.A,f.coal_extract,2047,f.eCO2,0.5238679200109905
NetZero2050,r.A,f.coal_extract,2048,f.eCO2,0.4385210713320011
NetZero2050,r.A,f.coal_extract,2049,f.eCO2,0.367147041105215
NetZero2050,r.A,f.coal_extract,2050,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2051,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2052,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2053,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2054,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2055,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2056,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2057,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2058,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2059,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2060,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2061,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2062,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2063,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2064,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2065,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2066,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2067,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2068,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2069,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2070,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.oil_extract,1990,f.eCO2,448.60244912610835
NetZero2050,r.A,f.oil_extract,1991,f.eCO2,445.39220140280753
NetZero2050,r.A,f.oil_extract,1992,f.eCO2,456.6284257952021
NetZero2050,r.A,f.oil_extract,1993,f.eCO2,454.3546605883928
NetZero2050,r.A,f.oil_extract,1994,f.eCO2,447.5370994379524
NetZero2050,r.A,f.oil_extract,1995,f.eCO2,444.68885988389184
NetZero2050,r.A,f.oil_extract,1996,f.eCO2,436.3975090207198
NetZero2050,r.A,f.oil_extract,1997,f.eCO2,455.8392733402261
NetZero2050,r.A,f.oil_extract,1998,f.eCO2,452.1176917356051
NetZero2050,r.A,f.oil_extract,1999,f.eCO2,424.2866302546832
NetZero2050,r.A,f.oil_extract,2000,f.eCO2,423.726822843316
NetZero2050,r.A,f.oil_extract,2001,f.eCO2,426.9798111233486
NetZero2050,r.A,f.oil_extract,2002,f.eCO2,430.54658637784655
NetZero2050,r.A,f.oil_extract,2003,f.eCO2,430.2366179354032
NetZero2050,r.A,f.oil_extract,2004,f.eCO2,426.78853277250056
NetZero2050,r.A,f.oil_extract,2005,f.eCO2,438.7868213563547
NetZero2050,r.A,f.oil_extract,2006,f.eCO2,437.8219022565129
NetZero2050,r.A,f.oil_extract,2007,f.eCO2,461.4727359410819
NetZero2050,r.A,f.oil_extract,2008,f.eCO2,445.92152413102303
NetZero2050,r.A,f.oil_extract,2009,f.eCO2,422.61460676600706
NetZero2050,r.A,f.oil_extract,2010,f.eCO2,452.04607322202656
NetZero2050,r.A,f.oil_extract,2011,f.eCO2,439.8569155612144
NetZero2050,r.A,f.oil_extract,2012,f.eCO2,427.0112336408667
NetZero2050,r.A,f.oil_extract,2013,f.eCO2,382.95023352856026
NetZero2050,r.A,f.oil_extract,2014,f.eCO2,373.76333153580435
NetZero2050,r.A,f.oil_extract,2015,f.eCO2,418.6694735807502
NetZero2050,r.A,f.oil_extract,2016,f.eCO2,414.9483304285444
NetZero2050,r.A,f.oil_extract,2017,f.eCO2,416.1434716863444
NetZero2050,r.A,f.oil_extract,2018,f.eCO2,378.7176178659505
NetZero2050,r.A,f.oil_extract,2019,f.eCO2,312.7188587625254
NetZero2050,r.A,f.oil_extract,2020,f.eCO2,265.08942325931594
NetZero2050,r.A,f.oil_extract,2021,f.eCO2,256.94960982117067
NetZero2050,r.A,f.oil_extract,2022,f.eCO2,239.8575689596528
NetZero2050,r.A,f.oil_extract,2023,f.eCO2,232.5909271923092
NetZero2050,r.A,f.oil_extract,2024,f.eCO2,223.53933452242586
NetZero2050,r.A,f.oil_extract,2025,f.eCO2,217.75177490713443
NetZero2050,r.A,f.oil_extract,2026,f.eCO2,213.00907971695293
NetZero2050,r.A,f.oil_extract,2027,f.eCO2,208.26638452677147
NetZero2050,r.A,f.oil_extract,2028,f.eCO2,203.5236893365899
NetZero2050,r.A,f.oil_extract,2029,f.eCO2,198.78099414640837
NetZero2050,r.A,f.oil_extract,2030,f.eCO2,194.0382989562269
NetZero2050,r.A,f.oil_extract,2031,f.eCO2,187.8136535804993
NetZero2050,r.A,f.oil_extract,2032,f.eCO2,181.58900820477177
NetZero2050,r.A,f.oil_extract,2033,f.eCO2,175.36436282904418
NetZero2050,r.A,f.oil_extract,2034,f.eCO2,169.13971745331665
NetZero2050,r.A,f.oil_extract,2035,f.eCO2,162.91507207758906
NetZero2050,r.A,f.oil_extract,2036,f.eCO2,156.6904267018615
NetZero2050,r.A,f.oil_extract,2037,f.eCO2,150.46578132613394
NetZero2050,r.A,f.oil_extract,2038,f.eCO2,144.24113595040635
NetZero2050,r.A,f.oil_extract,2039,f.eCO2,138.0164905746788
NetZero2050,r.A,f.oil_extract,2040,f.eCO2,131.79184519895125
NetZero2050,r.A,f.oil_extract,2041,f.eCO2,117.86163474536852
NetZero2050,r.A,f.oil_extract,2042,f.eCO2,105.42354523964339
NetZero2050,r.A,f.oil_extract,2043,f.eCO2,94.31277539590829
NetZero2050,r.A,f.oil_extract,2044,f.eCO2,84.38299128749982
NetZero2050,r.A,f.oil_extract,2045,f.eCO2,75.50423400404365
NetZero2050,r.A,f.oil_extract,2046,f.eCO2,67.56106636223029
NetZero2050,r.A,f.oil_extract,2047,f.eCO2,60.45093118353492
NetZero2050,r.A,f.oil_extract,2048,f.eCO2,54.0826968279651
NetZero2050,r.A,f.oil_extract,2049,f.eCO2,48.37536848049425
NetZero2050,r.A,f.oil_extract,2050,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2051,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2052,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2053,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2054,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2055,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2056,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2057,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2058,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2059,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2060,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2061,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2062,f.eCO2,43.256946168919015
NetZero2050,r.A,f.oil_extract,2063,f.eCO2,43.256946168919015
