,,,,,value
stated_policies,r.A,f.coal_extract,1990,f.eCO2,74.68367456108572
stated_policies,r.A,f.coal_extract,1991,f.eCO2,74.28680778699767
stated_policies,r.A,f.coal_extract,1992,f.eCO2,78.38697252673765
stated_policies,r.A,f.coal_extract,1993,f.eCO2,75.94545060011454
stated_policies,r.A,f.coal_extract,1994,f.eCO2,82.31569667195367
stated_policies,r.A,f.coal_extract,1995,f.eCO2,81.97369536841934
stated_policies,r.A,f.coal_extract,1996,f.eCO2,85.58105021094285
stated_policies,r.A,f.coal_extract,1997,f.eCO2,88.40029028025744
stated_policies,r.A,f.coal_extract,1998,f.eCO2,92.29899391203114
stated_policies,r.A,f.coal_extract,1999,f.eCO2,90.62667334126716
stated_policies,r.A,f.coal_extract,2000,f.eCO2,88.42494480843399
stated_policies,r.A,f.coal_extract,2001,f.eCO2,84.45099474005985
stated_policies,r.A,f.coal_extract,2002,f.eCO2,81.79507739787017
stated_policies,r.A,f.coal_extract,2003,f.eCO2,80.11319650625154
stated_policies,r.A,f.coal_extract,2004,f.eCO2,81.93606345001794
stated_policies,r.A,f.coal_extract,2005,f.eCO2,84.37846096688884
stated_policies,r.A,f.coal_extract,2006,f.eCO2,83.86342511395098
stated_policies,r.A,f.coal_extract,2007,f.eCO2,79.91268413801164
stated_policies,r.A,f.coal_extract,2008,f.eCO2,78.8963825760016
stated_policies,r.A,f.coal_extract,2009,f.eCO2,62.308044077729924
stated_policies,r.A,f.coal_extract,2010,f.eCO2,68.50367223681802
stated_policies,r.A,f.coal_extract,2011,f.eCO2,77.12961153744082
stated_policies,r.A,f.coal_extract,2012,f.eCO2,79.05344389360094
stated_policies,r.A,f.coal_extract,2013,f.eCO2,65.42523848931013
stated_policies,r.A,f.coal_extract,2014,f.eCO2,62.64977011084873
stated_policies,r.A,f.coal_extract,2015,f.eCO2,60.42072202467663
stated_policies,r.A,f.coal_extract,2016,f.eCO2,52.472463211623754
stated_policies,r.A,f.coal_extract,2017,f.eCO2,46.66537619928364
stated_policies,r.A,f.coal_extract,2018,f.eCO2,42.61459447950628
stated_policies,r.A,f.coal_extract,2019,f.eCO2,31.84720002080135
stated_policies,r.A,f.coal_extract,2020,f.eCO2,23.652507701031556
stated_policies,r.A,f.coal_extract,2021,f.eCO2,24.47673213032533
stated_policies,r.A,f.coal_extract,2022,f.eCO2,12.315546263600734
stated_policies,r.A,f.coal_extract,2023,f.eCO2,8.215155897769101
stated_policies,r.A,f.coal_extract,2024,f.eCO2,5.211371679489279
stated_policies,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
stated_policies,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
stated_policies,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
stated_policies,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
stated_policies,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
stated_policies,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
stated_policies,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
stated_policies,r.A,f.coal_extract,2032,f.eCO2,3.5267971557520856
stated_policies,r.A,f.coal_extract,2033,f.eCO2,3.314467400414001
stated_policies,r.A,f.coal_extract,2034,f.eCO2,3.102137645075916
stated_policies,r.A,f.coal_extract,2035,f.eCO2,2.8898078897378325
stated_policies,r.A,f.coal_extract,2036,f.eCO2,2.6774781343997476
stated_policies,r.A,f.coal_extract,2037,f.eCO2,2.465148379061663
stated_policies,r.A,f.coal_extract,2038,f.eCO2,2.252818623723579
stated_policies,r.A,f.coal_extract,2039,f.eCO2,2.0404888683854945
stated_policies,r.A,f.coal_extract,2040,f.eCO2,1.8281591130474097
stated_policies,r.A,f.coal_extract,2041,f.eCO2,1.5284362192565248
stated_policies,r.A,f.coal_extract,2042,f.eCO2,1.2780673114044918
stated_policies,r.A,f.coal_extract,2043,f.eCO2,1.0688933113859456
stated_policies,r.A,f.coal_extract,2044,f.eCO2,0.8941087757196605
stated_policies,r.A,f.coal_extract,2045,f.eCO2,0.7480366084442908
stated_policies,r.A,f.coal_extract,2046,f.eCO2,0.6259403741206843
