,,,,,value
Nuclear_NZ,r.A,f.elect,2020,1,0.030103909577220533
Nuclear_NZ,r.A,f.elect,2020,2,0.028549659669420843
Nuclear_NZ,r.A,f.elect,2020,3,0.027586542461339757
Nuclear_NZ,r.A,f.elect,2020,4,0.027336883906496433
Nuclear_NZ,r.A,f.elect,2020,5,0.027766773813566688
Nuclear_NZ,r.A,f.elect,2020,6,0.029457565744679948
Nuclear_NZ,r.A,f.elect,2020,7,0.033186297313284645
Nuclear_NZ,r.A,f.elect,2020,8,0.0377674222362785
Nuclear_NZ,r.A,f.elect,2020,9,0.04131108345270406
Nuclear_NZ,r.A,f.elect,2020,10,0.042975708280479044
Nuclear_NZ,r.A,f.elect,2020,11,0.043268937849683525
Nuclear_NZ,r.A,f.elect,2020,12,0.042876106283022485
Nuclear_NZ,r.A,f.elect,2020,13,0.04195147968266157
Nuclear_NZ,r.A,f.elect,2020,14,0.041535153285785616
Nuclear_NZ,r.A,f.elect,2020,15,0.04155197143401397
Nuclear_NZ,r.A,f.elect,2020,16,0.041738242849062315
Nuclear_NZ,r.A,f.elect,2020,17,0.04145418720180036
Nuclear_NZ,r.A,f.elect,2020,18,0.04170714062080078
Nuclear_NZ,r.A,f.elect,2020,19,0.04253904268182609
Nuclear_NZ,r.A,f.elect,2020,20,0.04297542565031017
Nuclear_NZ,r.A,f.elect,2020,21,0.041731101930125476
Nuclear_NZ,r.A,f.elect,2020,22,0.03880755443361385
Nuclear_NZ,r.A,f.elect,2020,23,0.03577152674140089
Nuclear_NZ,r.A,f.elect,2020,24,0.03259614067872357
Nuclear_NZ,r.A,f.elect,2021,1,0.030448477607286348
Nuclear_NZ,r.A,f.elect,2021,2,0.028875695473607396
Nuclear_NZ,r.A,f.elect,2021,3,0.02789023342660488
Nuclear_NZ,r.A,f.elect,2021,4,0.02756069570748157
Nuclear_NZ,r.A,f.elect,2021,5,0.027995435171639917
Nuclear_NZ,r.A,f.elect,2021,6,0.029728405056244772
Nuclear_NZ,r.A,f.elect,2021,7,0.03347609592573366
Nuclear_NZ,r.A,f.elect,2021,8,0.03810890018912688
Nuclear_NZ,r.A,f.elect,2021,9,0.04169253719257898
Nuclear_NZ,r.A,f.elect,2021,10,0.04346448330032129
Nuclear_NZ,r.A,f.elect,2021,11,0.043762019615763155
