,,,,value
Nuclear_NZ,r.A,t.coal_extract,2020,13.882978590244967
Nuclear_NZ,r.A,t.coal_extract,2021,11.938128154456473
Nuclear_NZ,r.A,t.coal_extract,2022,11.663036186897735
Nuclear_NZ,r.A,t.coal_extract,2023,11.387944219338994
Nuclear_NZ,r.A,t.coal_extract,2024,11.112852251780255
Nuclear_NZ,r.A,t.coal_extract,2025,10.837760284221519
Nuclear_NZ,r.A,t.coal_extract,2026,10.562668316662776
Nuclear_NZ,r.A,t.coal_extract,2027,10.287576349104038
Nuclear_NZ,r.A,t.coal_extract,2028,10.012484381545299
Nuclear_NZ,r.A,t.coal_extract,2029,9.737392413986559
Nuclear_NZ,r.A,t.coal_extract,2030,9.462300446427811
Nuclear_NZ,r.A,t.coal_extract,2031,8.953847967169946
Nuclear_NZ,r.A,t.coal_extract,2032,8.445395487912082
Nuclear_NZ,r.A,t.coal_extract,2033,7.936943008654217
Nuclear_NZ,r.A,t.coal_extract,2034,7.428490529396351
Nuclear_NZ,r.A,t.coal_extract,2035,6.920038050138487
Nuclear_NZ,r.A,t.coal_extract,2036,6.4115855708806215
Nuclear_NZ,r.A,t.coal_extract,2037,5.903133091622756
Nuclear_NZ,r.A,t.coal_extract,2038,5.394680612364891
Nuclear_NZ,r.A,t.coal_extract,2039,4.886228133107027
Nuclear_NZ,r.A,t.coal_extract,2040,4.377775653849161
Nuclear_NZ,r.A,t.coal_extract,2041,3.660048417759877
Nuclear_NZ,r.A,t.coal_extract,2042,3.0605060138996447
Nuclear_NZ,r.A,t.coal_extract,2043,2.5596104199855017
Nuclear_NZ,r.A,t.coal_extract,2044,2.1410650759570413
Nuclear_NZ,r.A,t.coal_extract,2045,1.7912754033627651
Nuclear_NZ,r.A,t.coal_extract,2046,1.4988993633158147
Nuclear_NZ,r.A,t.coal_extract,2047,1.2544729885320653
Nuclear_NZ,r.A,t.coal_extract,2048,1.050098350890807
Nuclear_NZ,r.A,t.coal_extract,2049,0.8791835275508022
Nuclear_NZ,r.A,t.coal_extract,2050,0.7362258773144559
Nuclear_NZ,r.A,t.coal_extract,1990,170.8812448179189
Nuclear_NZ,r.A,t.coal_extract,1991,158.16032054839164
Nuclear_NZ,r.A,t.coal_extract,1992,143.18565799945446
Nuclear_NZ,r.A,t.coal_extract,1993,120.7466444032972
Nuclear_NZ,r.A,t.coal_extract,1994,121.6137728852404
Nuclear_NZ,r.A,t.coal_extract,1995,138.39225571837125
Nuclear_NZ,r.A,t.coal_extract,1996,129.9503695524811
Nuclear_NZ,r.A,t.coal_extract,1997,128.957414212738
Nuclear_NZ,r.A,t.coal_extract,1998,133.22371372873636
Nuclear_NZ,r.A,t.coal_extract,1999,133.4657525916594
Nuclear_NZ,r.A,t.coal_extract,2000,137.92051985567758
Nuclear_NZ,r.A,t.coal_extract,2001,150.27851040690229
Nuclear_NZ,r.A,t.coal_extract,2002,153.91770017924978
Nuclear_NZ,r.A,t.coal_extract,2003,152.36968454895802
Nuclear_NZ,r.A,t.coal_extract,2004,155.66704138069935
Nuclear_NZ,r.A,t.coal_extract,2005,160.0697165650506
Nuclear_NZ,r.A,t.coal_extract,2006,159.07890877688612
Nuclear_NZ,r.A,t.coal_extract,2007,162.53099926522478
Nuclear_NZ,r.A,t.coal_extract,2008,163.02012571632235
