,,,,,value
Nuclear_Base,r.A,f.coal_extract,1990,f.eCO2,68.16111093297152
Nuclear_Base,r.A,f.coal_extract,1991,f.eCO2,63.08698866034247
Nuclear_Base,r.A,f.coal_extract,1992,f.eCO2,57.11942106501799
Nuclear_Base,r.A,f.coal_extract,1993,f.eCO2,50.55671641869477
Nuclear_Base,r.A,f.coal_extract,1994,f.eCO2,52.70620545638139
Nuclear_Base,r.A,f.coal_extract,1995,f.eCO2,55.24577755656166
Nuclear_Base,r.A,f.coal_extract,1996,f.eCO2,55.51491966366942
Nuclear_Base,r.A,f.coal_extract,1997,f.eCO2,57.8321248377471
Nuclear_Base,r.A,f.coal_extract,1998,f.eCO2,63.5851838822656
Nuclear_Base,r.A,f.coal_extract,1999,f.eCO2,63.119036341381545
Nuclear_Base,r.A,f.coal_extract,2000,f.eCO2,65.6375244442906
Nuclear_Base,r.A,f.coal_extract,2001,f.eCO2,78.20028653172892
Nuclear_Base,r.A,f.coal_extract,2002,f.eCO2,76.96820575456717
Nuclear_Base,r.A,f.coal_extract,2003,f.eCO2,73.67664423931278
Nuclear_Base,r.A,f.coal_extract,2004,f.eCO2,80.44180180691085
Nuclear_Base,r.A,f.coal_extract,2005,f.eCO2,77.06152666463545
Nuclear_Base,r.A,f.coal_extract,2006,f.eCO2,75.02742061636755
Nuclear_Base,r.A,f.coal_extract,2007,f.eCO2,75.97559481671958
Nuclear_Base,r.A,f.coal_extract,2008,f.eCO2,77.62485457197454
Nuclear_Base,r.A,f.coal_extract,2009,f.eCO2,61.54029915850654
Nuclear_Base,r.A,f.coal_extract,2010,f.eCO2,67.41849078711661
Nuclear_Base,r.A,f.coal_extract,2011,f.eCO2,75.6140696163269
Nuclear_Base,r.A,f.coal_extract,2012,f.eCO2,77.63529476839354
Nuclear_Base,r.A,f.coal_extract,2013,f.eCO2,64.44411304769538
Nuclear_Base,r.A,f.coal_extract,2014,f.eCO2,61.101356513295286
Nuclear_Base,r.A,f.coal_extract,2015,f.eCO2,59.610225473409805
Nuclear_Base,r.A,f.coal_extract,2016,f.eCO2,51.7172221935341
Nuclear_Base,r.A,f.coal_extract,2017,f.eCO2,46.017304242560506
Nuclear_Base,r.A,f.coal_extract,2018,f.eCO2,42.100117505632106
Nuclear_Base,r.A,f.coal_extract,2019,f.eCO2,31.488655419748678
Nuclear_Base,r.A,f.coal_extract,2020,f.eCO2,23.367253118466895
Nuclear_Base,r.A,f.coal_extract,2021,f.eCO2,180.4436927977111
Nuclear_Base,r.A,f.coal_extract,2022,f.eCO2,159.8387107943165
Nuclear_Base,r.A,f.coal_extract,2023,f.eCO2,148.45834581326534
Nuclear_Base,r.A,f.coal_extract,2024,f.eCO2,140.9565129893358
Nuclear_Base,r.A,f.coal_extract,2025,f.eCO2,134.71258248663491
Nuclear_Base,r.A,f.coal_extract,2026,f.eCO2,128.46865198393405
Nuclear_Base,r.A,f.coal_extract,2027,f.eCO2,122.22472148123322
Nuclear_Base,r.A,f.coal_extract,2028,f.eCO2,115.98079097853235
Nuclear_Base,r.A,f.coal_extract,2029,f.eCO2,109.73686047583149
Nuclear_Base,r.A,f.coal_extract,2030,f.eCO2,103.4929299731306
Nuclear_Base,r.A,f.coal_extract,2031,f.eCO2,100.1119016546074
Nuclear_Base,r.A,f.coal_extract,2032,f.eCO2,96.73087333608416
Nuclear_Base,r.A,f.coal_extract,2033,f.eCO2,93.34984501756097
Nuclear_Base,r.A,f.coal_extract,2034,f.eCO2,89.96881669903775
Nuclear_Base,r.A,f.coal_extract,2035,f.eCO2,86.58778838051455
Nuclear_Base,r.A,f.coal_extract,2036,f.eCO2,83.20676006199135
Nuclear_Base,r.A,f.coal_extract,2037,f.eCO2,79.82573174346814
Nuclear_Base,r.A,f.coal_extract,2038,f.eCO2,76.44470342494493
Nuclear_Base,r.A,f.coal_extract,2039,f.eCO2,73.06367510642174
Nuclear_Base,r.A,f.coal_extract,2040,f.eCO2,69.68264678789853
Nuclear_Base,r.A,f.coal_extract,2041,f.eCO2,62.24107595945144
Nuclear_Base,r.A,f.coal_extract,2042,f.eCO2,55.60883929373797
Nuclear_Base,r.A,f.coal_extract,2043,f.eCO2,49.694643248569264
Nuclear_Base,r.A,f.coal_extract,2044,f.eCO2,44.41773132760216
Nuclear_Base,r.A,f.coal_extract,2045,f.eCO2,39.70664030227454
Nuclear_Base,r.A,f.coal_extract,2046,f.eCO2,35.49810673146109
Nuclear_Base,r.A,f.coal_extract,2047,f.eCO2,31.736105143808505
Nuclear_Base,r.A,f.coal_extract,2048,f.eCO2,28.371001625639384
Nuclear_Base,r.A,f.coal_extract,2049,f.eCO2,25.35880862197058
Nuclear_Base,r.A,f.coal_extract,2050,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2051,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2052,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2053,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2054,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2055,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2056,f.eCO2,22.66052855228922
Nuclear_Base,r.A,f.coal_extract,2057,f.eCO2,22.66052855228922
