,,,,value
Nuclear_Base,r.A,t.coal_extract,2021,452.37588447079594
Nuclear_Base,r.A,t.coal_extract,2022,400.7187895966619
Nuclear_Base,r.A,t.coal_extract,2023,372.1879909077049
Nuclear_Base,r.A,t.coal_extract,2024,353.3807485693336
Nuclear_Base,r.A,t.coal_extract,2025,337.7270920743956
Nuclear_Base,r.A,t.coal_extract,2026,322.0734355794576
Nuclear_Base,r.A,t.coal_extract,2027,306.4197790845197
Nuclear_Base,r.A,t.coal_extract,2028,290.7661225895817
Nuclear_Base,r.A,t.coal_extract,2029,275.1124660946437
Nuclear_Base,r.A,t.coal_extract,2030,259.45880959970566
Nuclear_Base,r.A,t.coal_extract,2031,250.9825051509411
Nuclear_Base,r.A,t.coal_extract,2032,242.5062007021765
Nuclear_Base,r.A,t.coal_extract,2033,234.02989625341198
Nuclear_Base,r.A,t.coal_extract,2034,225.55359180464737
Nuclear_Base,r.A,t.coal_extract,2035,217.07728735588285
Nuclear_Base,r.A,t.coal_extract,2036,208.6009829071183
Nuclear_Base,r.A,t.coal_extract,2037,200.12467845835374
Nuclear_Base,r.A,t.coal_extract,2038,191.6483740095892
Nuclear_Base,r.A,t.coal_extract,2039,183.17206956082467
Nuclear_Base,r.A,t.coal_extract,2040,174.6957651120601
Nuclear_Base,r.A,t.coal_extract,2041,156.03960078081488
Nuclear_Base,r.A,t.coal_extract,2042,139.4124531030334
Nuclear_Base,r.A,t.coal_extract,2043,124.58544737407055
Nuclear_Base,r.A,t.coal_extract,2044,111.3561254703223
Nuclear_Base,r.A,t.coal_extract,2045,99.54532767317123
Nuclear_Base,r.A,t.coal_extract,2046,88.99445129227108
Nuclear_Base,r.A,t.coal_extract,2047,79.56303936975658
Nuclear_Base,r.A,t.coal_extract,2048,71.12665870848221
Nuclear_Base,r.A,t.coal_extract,2049,63.57503164352833
Nuclear_Base,r.A,t.coal_extract,2050,56.81039047405039
Nuclear_Base,r.A,t.coal_extract,1990,170.88124481791897
Nuclear_Base,r.A,t.coal_extract,1991,158.16032054839167
Nuclear_Base,r.A,t.coal_extract,1992,143.19951129416864
Nuclear_Base,r.A,t.coal_extract,1993,126.74668175565274
Nuclear_Base,r.A,t.coal_extract,1994,132.13549302141342
Nuclear_Base,r.A,t.coal_extract,1995,138.50225019194158
Nuclear_Base,r.A,t.coal_extract,1996,139.17699474445803
Nuclear_Base,r.A,t.coal_extract,1997,144.98627366061748
Nuclear_Base,r.A,t.coal_extract,1998,159.40930576179704
Nuclear_Base,r.A,t.coal_extract,1999,158.24066471465488
Nuclear_Base,r.A,t.coal_extract,2000,164.55456388961744
Nuclear_Base,r.A,t.coal_extract,2001,196.04965536434247
Nuclear_Base,r.A,t.coal_extract,2002,192.96080463940825
Nuclear_Base,r.A,t.coal_extract,2003,184.7087952249117
Nuclear_Base,r.A,t.coal_extract,2004,201.66917821628272
Nuclear_Base,r.A,t.coal_extract,2005,193.19476199517513
Nuclear_Base,r.A,t.coal_extract,2006,188.09521815174375
