,,,,,value
NetZero2050,r.A,f.coal_extract,1990,f.eCO2,68.55603679788264
NetZero2050,r.A,f.coal_extract,1991,f.eCO2,68.11013030626266
NetZero2050,r.A,f.coal_extract,1992,f.eCO2,71.92629175338475
NetZero2050,r.A,f.coal_extract,1993,f.eCO2,69.57295731036041
NetZero2050,r.A,f.coal_extract,1994,f.eCO2,65.03435929559826
NetZero2050,r.A,f.coal_extract,1995,f.eCO2,74.46742860398044
NetZero2050,r.A,f.coal_extract,1996,f.eCO2,78.11204035498771
NetZero2050,r.A,f.coal_extract,1997,f.eCO2,80.81190466690968
NetZero2050,r.A,f.coal_extract,1998,f.eCO2,86.28328369877494
NetZero2050,r.A,f.coal_extract,1999,f.eCO2,85.7782253782572
NetZero2050,r.A,f.coal_extract,2000,f.eCO2,87.86104599839774
NetZero2050,r.A,f.coal_extract,2001,f.eCO2,99.33803269197298
NetZero2050,r.A,f.coal_extract,2002,f.eCO2,98.47040528943091
NetZero2050,r.A,f.coal_extract,2003,f.eCO2,97.85854124730297
NetZero2050,r.A,f.coal_extract,2004,f.eCO2,100.35172122684223
NetZero2050,r.A,f.coal_extract,2005,f.eCO2,94.38280990959022
NetZero2050,r.A,f.coal_extract,2006,f.eCO2,82.04869133832153
NetZero2050,r.A,f.coal_extract,2007,f.eCO2,76.27557038163123
NetZero2050,r.A,f.coal_extract,2008,f.eCO2,75.28911641272954
NetZero2050,r.A,f.coal_extract,2009,f.eCO2,67.11572064299247
NetZero2050,r.A,f.coal_extract,2010,f.eCO2,75.46561204657901
NetZero2050,r.A,f.coal_extract,2011,f.eCO2,73.58391537207008
NetZero2050,r.A,f.coal_extract,2012,f.eCO2,75.4193384111733
NetZero2050,r.A,f.coal_extract,2013,f.eCO2,64.70563609645721
NetZero2050,r.A,f.coal_extract,2014,f.eCO2,59.20981385972373
NetZero2050,r.A,f.coal_extract,2015,f.eCO2,57.49668139358612
NetZero2050,r.A,f.coal_extract,2016,f.eCO2,49.9715197334178
NetZero2050,r.A,f.coal_extract,2017,f.eCO2,44.4387974997085
NetZero2050,r.A,f.coal_extract,2018,f.eCO2,40.58342214320896
NetZero2050,r.A,f.coal_extract,2019,f.eCO2,30.404685069651077
NetZero2050,r.A,f.coal_extract,2020,f.eCO2,24.869766327839884
NetZero2050,r.A,f.coal_extract,2021,f.eCO2,179.63387485462266
NetZero2050,r.A,f.coal_extract,2022,f.eCO2,171.4019028062702
NetZero2050,r.A,f.coal_extract,2023,f.eCO2,159.64827596366726
NetZero2050,r.A,f.coal_extract,2024,f.eCO2,143.40526691818116
NetZero2050,r.A,f.coal_extract,2025,f.eCO2,134.71258248663491
NetZero2050,r.A,f.coal_extract,2026,f.eCO2,128.46865198393405
NetZero2050,r.A,f.coal_extract,2027,f.eCO2,122.22472148123322
NetZero2050,r.A,f.coal_extract,2028,f.eCO2,115.98079097853235
NetZero2050,r.A,f.coal_extract,2029,f.eCO2,109.73686047583149
NetZero2050,r.A,f.coal_extract,2030,f.eCO2,103.4929299731306
NetZero2050,r.A,f.coal_extract,2031,f.eCO2,100.1119016546074
NetZero2050,r.A,f.coal_extract,2032,f.eCO2,96.73087333608416
NetZero2050,r.A,f.coal_extract,2033,f.eCO2,93.34984501756097
NetZero2050,r.A,f.coal_extract,2034,f.eCO2,89.96881669903775
NetZero2050,r.A,f.coal_extract,2035,f.eCO2,86.58778838051455
NetZero2050,r.A,f.coal_extract,2036,f.eCO2,83.20676006199135
NetZero2050,r.A,f.coal_extract,2037,f.eCO2,79.82573174346814
NetZero2050,r.A,f.coal_extract,2038,f.eCO2,76.44470342494493
NetZero2050,r.A,f.coal_extract,2039,f.eCO2,73.06367510642174
NetZero2050,r.A,f.coal_extract,2040,f.eCO2,69.68264678789853
NetZero2050,r.A,f.coal_extract,2041,f.eCO2,62.24107595945144
NetZero2050,r.A,f.coal_extract,2042,f.eCO2,55.60883929373797
NetZero2050,r.A,f.coal_extract,2043,f.eCO2,49.694643248569264
NetZero2050,r.A,f.coal_extract,2044,f.eCO2,44.41773132760216
