,,,,,value
NetZero2050,s.industry,1990,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1990,r.A,f.biofuels,0.0
NetZero2050,s.industry,1990,r.A,f.biomass,0.346119
NetZero2050,s.industry,1990,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1990,r.A,f.coal,7.976295000000001
NetZero2050,s.industry,1990,r.A,f.coal_extract,4.9168608
NetZero2050,s.industry,1990,r.A,f.elect,0.0
NetZero2050,s.industry,1990,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1990,r.A,f.natgas_extract,30.302301599999996
NetZero2050,s.industry,1990,r.A,f.oil,24.879754563588275
NetZero2050,s.industry,1990,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1990,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1991,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1991,r.A,f.biofuels,0.0
NetZero2050,s.industry,1991,r.A,f.biomass,0.5312263
NetZero2050,s.industry,1991,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1991,r.A,f.coal,7.912597500000001
NetZero2050,s.industry,1991,r.A,f.coal_extract,3.9681912000000006
NetZero2050,s.industry,1991,r.A,f.elect,0.0
NetZero2050,s.industry,1991,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1991,r.A,f.natgas_extract,30.693459599999997
NetZero2050,s.industry,1991,r.A,f.oil,21.79863187260298
NetZero2050,s.industry,1991,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1991,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1992,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1992,r.A,f.biofuels,0.0
NetZero2050,s.industry,1992,r.A,f.biomass,0.6261793
NetZero2050,s.industry,1992,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1992,r.A,f.coal,7.076920500000001
NetZero2050,s.industry,1992,r.A,f.coal_extract,5.5753452
NetZero2050,s.industry,1992,r.A,f.elect,0.0
NetZero2050,s.industry,1992,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1992,r.A,f.natgas_extract,31.1997888
NetZero2050,s.industry,1992,r.A,f.oil,19.61448377486538
NetZero2050,s.industry,1992,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1992,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1993,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1993,r.A,f.biofuels,0.0
NetZero2050,s.industry,1993,r.A,f.biomass,0.5706369
NetZero2050,s.industry,1993,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1993,r.A,f.coal,7.210044000000001
NetZero2050,s.industry,1993,r.A,f.coal_extract,4.237546
NetZero2050,s.industry,1993,r.A,f.elect,0.0
NetZero2050,s.industry,1993,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1993,r.A,f.natgas_extract,31.548315600000006
NetZero2050,s.industry,1993,r.A,f.oil,18.401309994173904
NetZero2050,s.industry,1993,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1993,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1994,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1994,r.A,f.biofuels,0.0
NetZero2050,s.industry,1994,r.A,f.biomass,0.683049
NetZero2050,s.industry,1994,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1994,r.A,f.coal,7.540159500000001
NetZero2050,s.industry,1994,r.A,f.coal_extract,3.9825952000000004
NetZero2050,s.industry,1994,r.A,f.elect,0.0
NetZero2050,s.industry,1994,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1994,r.A,f.natgas_extract,32.4972504
NetZero2050,s.industry,1994,r.A,f.oil,18.731656187637963
NetZero2050,s.industry,1994,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1994,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1995,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1995,r.A,f.biofuels,0.0
NetZero2050,s.industry,1995,r.A,f.biomass,0.701427
NetZero2050,s.industry,1995,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1995,r.A,f.coal,7.316064000000002
NetZero2050,s.industry,1995,r.A,f.coal_extract,3.1247816
NetZero2050,s.industry,1995,r.A,f.elect,0.0
NetZero2050,s.industry,1995,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1995,r.A,f.natgas_extract,34.563635999999995
NetZero2050,s.industry,1995,r.A,f.oil,18.72315438113539
NetZero2050,s.industry,1995,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1995,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1996,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1996,r.A,f.biofuels,0.0
NetZero2050,s.industry,1996,r.A,f.biomass,0.5825826
NetZero2050,s.industry,1996,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1996,r.A,f.coal,6.713802
NetZero2050,s.industry,1996,r.A,f.coal_extract,3.0365848
NetZero2050,s.industry,1996,r.A,f.elect,0.0
NetZero2050,s.industry,1996,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1996,r.A,f.natgas_extract,34.9167942
NetZero2050,s.industry,1996,r.A,f.oil,17.840462822812015
NetZero2050,s.industry,1996,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1996,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1997,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1997,r.A,f.biofuels,0.0
NetZero2050,s.industry,1997,r.A,f.biomass,0.6496623
NetZero2050,s.industry,1997,r.A,f.blended_gas,0.0
NetZero2050,s.industry,1997,r.A,f.coal,7.2686115000000004
NetZero2050,s.industry,1997,r.A,f.coal_extract,2.4759368000000004
NetZero2050,s.industry,1997,r.A,f.elect,0.0
NetZero2050,s.industry,1997,r.A,f.hydrogen,0.0
NetZero2050,s.industry,1997,r.A,f.natgas_extract,35.085924
NetZero2050,s.industry,1997,r.A,f.oil,19.33542047822485
NetZero2050,s.industry,1997,r.A,f.oil_extract,0.0
NetZero2050,s.industry,1997,r.A,f.uranium_fuel,0.0
NetZero2050,s.industry,1998,r.A,f.CO2_capt,0.0
NetZero2050,s.industry,1998,r.A,f.biofuels,0.0
