,,,,,,value
NetZero2050,r.A,f.coal_extract,1990,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.coal_extract,171.87133172353248
NetZero2050,r.A,f.coal_extract,1990,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1990,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.coal_extract,170.7534353847339
NetZero2050,r.A,f.coal_extract,1991,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1991,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.coal_extract,180.3206271394523
NetZero2050,r.A,f.coal_extract,1992,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1992,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.coal_extract,174.42077143592158
NetZero2050,r.A,f.coal_extract,1993,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1993,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.coal_extract,163.0424170066142
NetZero2050,r.A,f.coal_extract,1994,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1994,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.coal_extract,186.69130717002716
NetZero2050,r.A,f.coal_extract,1995,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1995,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.coal_extract,195.82842046477063
NetZero2050,r.A,f.coal_extract,1996,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1996,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.coal_extract,202.59703336068412
NetZero2050,r.A,f.coal_extract,1997,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1997,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.coal_extract,216.3138881337117
NetZero2050,r.A,f.coal_extract,1998,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1998,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.coal_extract,215.04769699723528
NetZero2050,r.A,f.coal_extract,1999,r.A,s.coal_ref,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.elect,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.elect_storage,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.elect_trans,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.forestry,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.hydrogen,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.hydrogen_storage,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.natgas_extract,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.oil_extract,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.oil_ref,0.0
NetZero2050,r.A,f.coal_extract,1999,r.A,s.uranium,0.0
NetZero2050,r.A,f.coal_extract,2000,r.A,s.DAC,0.0
NetZero2050,r.A,f.coal_extract,2000,r.A,s.biomass_ref,0.0
NetZero2050,r.A,f.coal_extract,2000,r.A,s.blender,0.0
NetZero2050,r.A,f.coal_extract,2000,r.A,s.coal_extract,220.26936922983788
