,,,,,value
stated_policies_newcap,r.A,f.coal_extract,1990,f.eCO2,68.16111093297151
stated_policies_newcap,r.A,f.coal_extract,1991,f.eCO2,63.08698866034247
stated_policies_newcap,r.A,f.coal_extract,1992,f.eCO2,57.11942106501799
stated_policies_newcap,r.A,f.coal_extract,1993,f.eCO2,49.62107962136349
stated_policies_newcap,r.A,f.coal_extract,1994,f.eCO2,51.8325055898748
stated_policies_newcap,r.A,f.coal_extract,1995,f.eCO2,55.24577755656166
stated_policies_newcap,r.A,f.coal_extract,1996,f.eCO2,54.62520126088483
stated_policies_newcap,r.A,f.coal_extract,1997,f.eCO2,56.92497685499511
stated_policies_newcap,r.A,f.coal_extract,1998,f.eCO2,63.10949855971791
stated_policies_newcap,r.A,f.coal_extract,1999,f.eCO2,62.740224122646104
stated_policies_newcap,r.A,f.coal_extract,2000,f.eCO2,65.63633383946936
stated_policies_newcap,r.A,f.coal_extract,2001,f.eCO2,78.19911423805456
stated_policies_newcap,r.A,f.coal_extract,2002,f.eCO2,76.96783422004818
stated_policies_newcap,r.A,f.coal_extract,2003,f.eCO2,74.67679564976095
stated_policies_newcap,r.A,f.coal_extract,2004,f.eCO2,80.4408995038449
stated_policies_newcap,r.A,f.coal_extract,2005,f.eCO2,74.33019459960634
stated_policies_newcap,r.A,f.coal_extract,2006,f.eCO2,75.02800335514519
stated_policies_newcap,r.A,f.coal_extract,2007,f.eCO2,75.97616663300403
stated_policies_newcap,r.A,f.coal_extract,2008,f.eCO2,77.62493036169059
stated_policies_newcap,r.A,f.coal_extract,2009,f.eCO2,61.540371561409
stated_policies_newcap,r.A,f.coal_extract,2010,f.eCO2,67.41870279255664
stated_policies_newcap,r.A,f.coal_extract,2011,f.eCO2,75.61447546711322
stated_policies_newcap,r.A,f.coal_extract,2012,f.eCO2,77.63441445967305
stated_policies_newcap,r.A,f.coal_extract,2013,f.eCO2,64.44342692162675
