,,,,value
stated_policies_newcap,r.A,f.coal_extract,2021,452.37561779632233
stated_policies_newcap,r.A,f.coal_extract,2022,400.71870743937455
stated_policies_newcap,r.A,f.coal_extract,2023,372.1879747456156
stated_policies_newcap,r.A,f.coal_extract,2024,353.3807485693336
stated_policies_newcap,r.A,f.coal_extract,2025,337.7270920743956
stated_policies_newcap,r.A,f.coal_extract,2026,322.0734355794576
stated_policies_newcap,r.A,f.coal_extract,2027,306.4197790845197
stated_policies_newcap,r.A,f.coal_extract,2028,290.7661225895817
stated_policies_newcap,r.A,f.coal_extract,2029,275.1124660946437
stated_policies_newcap,r.A,f.coal_extract,2030,259.45880959970566
stated_policies_newcap,r.A,f.coal_extract,2031,250.9825051509411
stated_policies_newcap,r.A,f.coal_extract,2032,242.5062007021765
stated_policies_newcap,r.A,f.coal_extract,2033,234.02989625341198
stated_policies_newcap,r.A,f.coal_extract,2034,225.55359180464737
stated_policies_newcap,r.A,f.coal_extract,2035,217.07728735588285
stated_policies_newcap,r.A,f.coal_extract,2036,208.6009829071183
stated_policies_newcap,r.A,f.coal_extract,2037,200.12467845835374
stated_policies_newcap,r.A,f.coal_extract,2038,191.6483740095892
stated_policies_newcap,r.A,f.coal_extract,2039,183.17206956082467
stated_policies_newcap,r.A,f.coal_extract,2040,174.6957651120601
stated_policies_newcap,r.A,f.coal_extract,2041,156.03960078081488
stated_policies_newcap,r.A,f.coal_extract,2042,139.4124531030334
stated_policies_newcap,r.A,f.coal_extract,2043,124.58544737407055
stated_policies_newcap,r.A,f.coal_extract,2044,111.3561254703223
stated_policies_newcap,r.A,f.coal_extract,2045,99.54532767317123
stated_policies_newcap,r.A,f.coal_extract,2046,88.99445129227108
stated_policies_newcap,r.A,f.coal_extract,2047,79.56303936975658
stated_policies_newcap,r.A,f.coal_extract,2048,71.12665870848221
stated_policies_newcap,r.A,f.coal_extract,2049,63.57503164352833
stated_policies_newcap,r.A,f.coal_extract,2050,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,1990,170.88124481791894
stated_policies_newcap,r.A,f.coal_extract,1991,158.16032054839167
stated_policies_newcap,r.A,f.coal_extract,1992,143.19951129416864
stated_policies_newcap,r.A,f.coal_extract,1993,124.40102191477008
stated_policies_newcap,r.A,f.coal_extract,1994,129.94511028348074
stated_policies_newcap,r.A,f.coal_extract,1995,138.50225019194158
stated_policies_newcap,r.A,f.coal_extract,1996,136.9464532212315
stated_policies_newcap,r.A,f.coal_extract,1997,142.7120358378337
stated_policies_newcap,r.A,f.coal_extract,1998,158.21675330855874
stated_policies_newcap,r.A,f.coal_extract,1999,157.29097503671807
stated_policies_newcap,r.A,f.coal_extract,2000,164.5515790199292
stated_policies_newcap,r.A,f.coal_extract,2001,196.04671640105937
stated_policies_newcap,r.A,f.coal_extract,2002,192.95987319506662
stated_policies_newcap,r.A,f.coal_extract,2003,187.21619446891532
stated_policies_newcap,r.A,f.coal_extract,2004,201.6669161247616
stated_policies_newcap,r.A,f.coal_extract,2005,186.34725882372229
stated_policies_newcap,r.A,f.coal_extract,2006,188.09667908931306
stated_policies_newcap,r.A,f.coal_extract,2007,190.4737430630867
stated_policies_newcap,r.A,f.coal_extract,2008,194.6072261374112
stated_policies_newcap,r.A,f.coal_extract,2009,154.28292108255366
stated_policies_newcap,r.A,f.coal_extract,2010,169.02001301784156
stated_policies_newcap,r.A,f.coal_extract,2011,189.56697620114628
stated_policies_newcap,r.A,f.coal_extract,2012,194.63100295746352
stated_policies_newcap,r.A,f.coal_extract,2013,161.56093793027162
stated_policies_newcap,r.A,f.coal_extract,2014,153.18095689825807
stated_policies_newcap,r.A,f.coal_extract,2015,149.4430236666702
stated_policies_newcap,r.A,f.coal_extract,2016,129.6554140372512
stated_policies_newcap,r.A,f.coal_extract,2017,115.36668062986301
stated_policies_newcap,r.A,f.coal_extract,2018,105.54532897241404
stated_policies_newcap,r.A,f.coal_extract,2019,78.94232600477409
stated_policies_newcap,r.A,f.coal_extract,2020,58.581897911625234
stated_policies_newcap,r.A,f.coal_extract,2051,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2052,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2053,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2054,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2055,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2056,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2057,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2058,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2059,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2060,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2061,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2062,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2063,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2064,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2065,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2066,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2067,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2068,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2069,56.81039047405039
stated_policies_newcap,r.A,f.coal_extract,2070,56.81039047405039
stated_policies_newcap,r.A,f.oil_extract,2021,689.4533498663701
stated_policies_newcap,r.A,f.oil_extract,2022,617.8144805733302
stated_policies_newcap,r.A,f.oil_extract,2023,588.927333324485
stated_policies_newcap,r.A,f.oil_extract,2024,557.2318928348701
stated_policies_newcap,r.A,f.oil_extract,2025,531.3525666233667
stated_policies_newcap,r.A,f.oil_extract,2026,507.30223549217646
stated_policies_newcap,r.A,f.oil_extract,2027,483.2519043609864
stated_policies_newcap,r.A,f.oil_extract,2028,459.20157322979634
stated_policies_newcap,r.A,f.oil_extract,2029,435.151242098606
stated_policies_newcap,r.A,f.oil_extract,2030,411.10091096741576
stated_policies_newcap,r.A,f.oil_extract,2031,398.3169306101654
stated_policies_newcap,r.A,f.oil_extract,2032,385.5329502529147
stated_policies_newcap,r.A,f.oil_extract,2033,372.7489698956646
stated_policies_newcap,r.A,f.oil_extract,2034,359.84147642105194
stated_policies_newcap,r.A,f.oil_extract,2035,346.81046982907725
stated_policies_newcap,r.A,f.oil_extract,2036,333.0383845329278
stated_policies_newcap,r.A,f.oil_extract,2037,316.9195500068911
stated_policies_newcap,r.A,f.oil_extract,2038,298.0834268988807
stated_policies_newcap,r.A,f.oil_extract,2039,283.8172891332814
stated_policies_newcap,r.A,f.oil_extract,2040,271.03330877603105
stated_policies_newcap,r.A,f.oil_extract,2041,242.4218332052527
stated_policies_newcap,r.A,f.oil_extract,2042,216.87506848702833
stated_policies_newcap,r.A,f.oil_extract,2043,194.05452459971292
stated_policies_newcap,r.A,f.oil_extract,2044,173.65964215422878
stated_policies_newcap,r.A,f.oil_extract,2045,155.42349487161576
stated_policies_newcap,r.A,f.oil_extract,2046,139.1089830597867
stated_policies_newcap,r.A,f.oil_extract,2047,124.50546163360382
stated_policies_newcap,r.A,f.oil_extract,2048,111.42575274542112
stated_policies_newcap,r.A,f.oil_extract,2049,99.7034988597666
stated_policies_newcap,r.A,f.oil_extract,2050,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,1990,1470.966613860464
stated_policies_newcap,r.A,f.oil_extract,1991,1460.5754803151701
stated_policies_newcap,r.A,f.oil_extract,1992,1497.2687738312657
stated_policies_newcap,r.A,f.oil_extract,1993,1489.9891871863215
stated_policies_newcap,r.A,f.oil_extract,1994,1467.6318324096835
stated_policies_newcap,r.A,f.oil_extract,1995,1457.9655816150566
stated_policies_newcap,r.A,f.oil_extract,1996,1430.8346189601345
stated_policies_newcap,r.A,f.oil_extract,1997,1494.9430187297507
stated_policies_newcap,r.A,f.oil_extract,1998,1482.78404695331
stated_policies_newcap,r.A,f.oil_extract,1999,1391.8348954254698
stated_policies_newcap,r.A,f.oil_extract,2000,1390.1502888103037
stated_policies_newcap,r.A,f.oil_extract,2001,1400.9965272756126
stated_policies_newcap,r.A,f.oil_extract,2002,1412.4154114234248
stated_policies_newcap,r.A,f.oil_extract,2003,1411.8372844977373
stated_policies_newcap,r.A,f.oil_extract,2004,1400.7796303313653
stated_policies_newcap,r.A,f.oil_extract,2005,1431.6467541880625
stated_policies_newcap,r.A,f.oil_extract,2006,1428.0315465768651
stated_policies_newcap,r.A,f.oil_extract,2007,1504.141921772064
stated_policies_newcap,r.A,f.oil_extract,2008,1452.8124598557783
stated_policies_newcap,r.A,f.oil_extract,2009,1385.6577057438228
stated_policies_newcap,r.A,f.oil_extract,2010,1481.6042762123816
stated_policies_newcap,r.A,f.oil_extract,2011,1441.596510065327
stated_policies_newcap,r.A,f.oil_extract,2012,1399.7233231858495
stated_policies_newcap,r.A,f.oil_extract,2013,1255.1849073862147
stated_policies_newcap,r.A,f.oil_extract,2014,1225.006489872304
stated_policies_newcap,r.A,f.oil_extract,2015,1372.2172029973274
stated_policies_newcap,r.A,f.oil_extract,2016,1360.7920792029288
stated_policies_newcap,r.A,f.oil_extract,2017,1367.0025042518737
stated_policies_newcap,r.A,f.oil_extract,2018,1253.2533790847617
stated_policies_newcap,r.A,f.oil_extract,2019,1052.7355629999524
stated_policies_newcap,r.A,f.oil_extract,2020,874.8274528616237
stated_policies_newcap,r.A,f.oil_extract,2051,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2052,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2053,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2054,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2055,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2056,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2057,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2058,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2059,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2060,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2061,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2062,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2063,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2064,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2065,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2066,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2067,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2068,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2069,89.19081720385375
stated_policies_newcap,r.A,f.oil_extract,2070,89.19081720385375
stated_policies_newcap,r.A,f.natgas_extract,2021,778.8067657880508
stated_policies_newcap,r.A,f.natgas_extract,2022,782.0490099961899
stated_policies_newcap,r.A,f.natgas_extract,2023,786.1426248284173
stated_policies_newcap,r.A,f.natgas_extract,2024,781.6130619877097
stated_policies_newcap,r.A,f.natgas_extract,2025,753.0225766505974
stated_policies_newcap,r.A,f.natgas_extract,2026,705.7759409571186
stated_policies_newcap,r.A,f.natgas_extract,2027,664.1580661107358
stated_policies_newcap,r.A,f.natgas_extract,2028,635.5735799280563
stated_policies_newcap,r.A,f.natgas_extract,2029,618.2195100273196
stated_policies_newcap,r.A,f.natgas_extract,2030,608.9118642559275
stated_policies_newcap,r.A,f.natgas_extract,2031,519.7364842056888
stated_policies_newcap,r.A,f.natgas_extract,2032,499.5346673865533
stated_policies_newcap,r.A,f.natgas_extract,2033,475.58886852531026
stated_policies_newcap,r.A,f.natgas_extract,2034,454.8110470822502
stated_policies_newcap,r.A,f.natgas_extract,2035,434.9563176681562
stated_policies_newcap,r.A,f.natgas_extract,2036,419.61670190583095
