,,,,,value
NetZero2050,r.A,f.coal_extract,1990,f.eCO2,72.10953070329063
NetZero2050,r.A,f.coal_extract,1991,f.eCO2,71.65077675713795
NetZero2050,r.A,f.coal_extract,1992,f.eCO2,75.658150226108
NetZero2050,r.A,f.coal_extract,1993,f.eCO2,73.1969407551393
NetZero2050,r.A,f.coal_extract,1994,f.eCO2,92.10459176742411
NetZero2050,r.A,f.coal_extract,1995,f.eCO2,91.82077092461917
NetZero2050,r.A,f.coal_extract,1996,f.eCO2,95.87873610669654
NetZero2050,r.A,f.coal_extract,1997,f.eCO2,98.10111572822292
NetZero2050,r.A,f.coal_extract,1998,f.eCO2,94.27600389714853
NetZero2050,r.A,f.coal_extract,1999,f.eCO2,92.53715323625383
NetZero2050,r.A,f.coal_extract,2000,f.eCO2,90.26973746350559
NetZero2050,r.A,f.coal_extract,2001,f.eCO2,86.19292248625595
NetZero2050,r.A,f.coal_extract,2002,f.eCO2,83.56019110243223
NetZero2050,r.A,f.coal_extract,2003,f.eCO2,81.8112871392561
NetZero2050,r.A,f.coal_extract,2004,f.eCO2,83.68008835268809
NetZero2050,r.A,f.coal_extract,2005,f.eCO2,86.18469161641148
NetZero2050,r.A,f.coal_extract,2006,f.eCO2,79.22827935777687
NetZero2050,r.A,f.coal_extract,2007,f.eCO2,80.15821700863275
NetZero2050,r.A,f.coal_extract,2008,f.eCO2,79.11602214451469
NetZero2050,r.A,f.coal_extract,2009,f.eCO2,63.2622482108941
NetZero2050,r.A,f.coal_extract,2010,f.eCO2,71.97470361957271
NetZero2050,r.A,f.coal_extract,2011,f.eCO2,77.30232450835305
NetZero2050,r.A,f.coal_extract,2012,f.eCO2,79.2326138840788
NetZero2050,r.A,f.coal_extract,2013,f.eCO2,66.66120653471066
NetZero2050,r.A,f.coal_extract,2014,f.eCO2,62.178550875506026
NetZero2050,r.A,f.coal_extract,2015,f.eCO2,60.407734500273754
NetZero2050,r.A,f.coal_extract,2016,f.eCO2,52.46398740696437
NetZero2050,r.A,f.coal_extract,2017,f.eCO2,52.20775336856776
NetZero2050,r.A,f.coal_extract,2018,f.eCO2,47.58045416608744
NetZero2050,r.A,f.coal_extract,2019,f.eCO2,35.4990201409585
NetZero2050,r.A,f.coal_extract,2020,f.eCO2,26.348863830947963
NetZero2050,r.A,f.coal_extract,2021,f.eCO2,27.31639119167426
NetZero2050,r.A,f.coal_extract,2022,f.eCO2,11.750245332541258
NetZero2050,r.A,f.coal_extract,2023,f.eCO2,6.109001195351918
NetZero2050,r.A,f.coal_extract,2024,f.eCO2,4.640727100343435
NetZero2050,r.A,f.coal_extract,2025,f.eCO2,4.5258486946909064
NetZero2050,r.A,f.coal_extract,2026,f.eCO2,4.410970289038375
NetZero2050,r.A,f.coal_extract,2027,f.eCO2,4.296091883385847
NetZero2050,r.A,f.coal_extract,2028,f.eCO2,4.181213477733317
NetZero2050,r.A,f.coal_extract,2029,f.eCO2,4.066335072080787
NetZero2050,r.A,f.coal_extract,2030,f.eCO2,3.951456666428254
NetZero2050,r.A,f.coal_extract,2031,f.eCO2,3.7391269110901697
NetZero2050,r.A,f.coal_extract,2032,f.eCO2,3.5267971557520856
NetZero2050,r.A,f.coal_extract,2033,f.eCO2,3.314467400414001
NetZero2050,r.A,f.coal_extract,2034,f.eCO2,3.102137645075916
NetZero2050,r.A,f.coal_extract,2035,f.eCO2,2.8898078897378325
NetZero2050,r.A,f.coal_extract,2036,f.eCO2,2.6774781343997476
NetZero2050,r.A,f.coal_extract,2037,f.eCO2,2.465148379061663
NetZero2050,r.A,f.coal_extract,2038,f.eCO2,2.252818623723579
NetZero2050,r.A,f.coal_extract,2039,f.eCO2,2.0404888683854945
NetZero2050,r.A,f.coal_extract,2040,f.eCO2,1.8281591130474097
NetZero2050,r.A,f.coal_extract,2041,f.eCO2,1.5284362192565248
NetZero2050,r.A,f.coal_extract,2042,f.eCO2,1.2780673114044918
NetZero2050,r.A,f.coal_extract,2043,f.eCO2,1.0688933113859456
NetZero2050,r.A,f.coal_extract,2044,f.eCO2,0.8941087757196605
NetZero2050,r.A,f.coal_extract,2045,f.eCO2,0.7480366084442908
NetZero2050,r.A,f.coal_extract,2046,f.eCO2,0.6259403741206843
NetZero2050,r.A,f.coal_extract,2047,f.eCO2,0.5238679200109905
NetZero2050,r.A,f.coal_extract,2048,f.eCO2,0.4385210713320011
NetZero2050,r.A,f.coal_extract,2049,f.eCO2,0.367147041105215
NetZero2050,r.A,f.coal_extract,2050,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2051,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2052,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2053,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2054,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2055,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2056,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2057,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2058,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2059,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2060,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2061,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2062,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2063,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2064,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2065,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2066,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2067,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2068,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2069,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.coal_extract,2070,f.eCO2,0.3074479263665168
NetZero2050,r.A,f.oil_extract,1990,f.eCO2,449.24850914841164
NetZero2050,r.A,f.oil_extract,1991,f.eCO2,446.0129848750722
NetZero2050,r.A,f.oil_extract,1992,f.eCO2,457.2886437195816
NetZero2050,r.A,f.oil_extract,1993,f.eCO2,454.98109779853587
NetZero2050,r.A,f.oil_extract,1994,f.eCO2,448.1541659574598
NetZero2050,r.A,f.oil_extract,1995,f.eCO2,445.35845495348275
NetZero2050,r.A,f.oil_extract,1996,f.eCO2,437.0453987463968
NetZero2050,r.A,f.oil_extract,1997,f.eCO2,456.45298600329136
NetZero2050,r.A,f.oil_extract,1998,f.eCO2,452.7186585710575
