,,,,,value
b.2_NUC_13,r.A,f.coal_extract,1990,f.eCO2,68.15895181540778
b.2_NUC_13,r.A,f.coal_extract,1991,f.eCO2,63.101216848545576
b.2_NUC_13,r.A,f.coal_extract,1992,f.eCO2,57.113895262822396
b.2_NUC_13,r.A,f.coal_extract,1993,f.eCO2,48.3323412281462
b.2_NUC_13,r.A,f.coal_extract,1994,f.eCO2,50.62958835351795
b.2_NUC_13,r.A,f.coal_extract,1995,f.eCO2,62.5710935001508
b.2_NUC_13,r.A,f.coal_extract,1996,f.eCO2,62.1727972124472
b.2_NUC_13,r.A,f.coal_extract,1997,f.eCO2,62.698601958803145
b.2_NUC_13,r.A,f.coal_extract,1998,f.eCO2,61.89453111147113
b.2_NUC_13,r.A,f.coal_extract,1999,f.eCO2,61.109557482159445
b.2_NUC_13,r.A,f.coal_extract,2000,f.eCO2,64.06313662976584
b.2_NUC_13,r.A,f.coal_extract,2001,f.eCO2,76.70320595285557
b.2_NUC_13,r.A,f.coal_extract,2002,f.eCO2,75.44529797465935
b.2_NUC_13,r.A,f.coal_extract,2003,f.eCO2,76.07839767372657
b.2_NUC_13,r.A,f.coal_extract,2004,f.eCO2,87.64325707580457
b.2_NUC_13,r.A,f.coal_extract,2005,f.eCO2,77.42721347524271
b.2_NUC_13,r.A,f.coal_extract,2006,f.eCO2,75.0624957564448
b.2_NUC_13,r.A,f.coal_extract,2007,f.eCO2,76.01046513242434
b.2_NUC_13,r.A,f.coal_extract,2008,f.eCO2,75.17082212359834
b.2_NUC_13,r.A,f.coal_extract,2009,f.eCO2,59.298130855248054
b.2_NUC_13,r.A,f.coal_extract,2010,f.eCO2,65.20596867378158
b.2_NUC_13,r.A,f.coal_extract,2011,f.eCO2,73.1071608077835
b.2_NUC_13,r.A,f.coal_extract,2012,f.eCO2,75.04239463030699
b.2_NUC_13,r.A,f.coal_extract,2013,f.eCO2,62.03155334148036
b.2_NUC_13,r.A,f.coal_extract,2014,f.eCO2,58.74796168454192
b.2_NUC_13,r.A,f.coal_extract,2015,f.eCO2,57.23211508497603
b.2_NUC_13,r.A,f.coal_extract,2016,f.eCO2,49.78314324142788
b.2_NUC_13,r.A,f.coal_extract,2017,f.eCO2,44.33020582017671
b.2_NUC_13,r.A,f.coal_extract,2018,f.eCO2,40.556710481709715
b.2_NUC_13,r.A,f.coal_extract,2019,f.eCO2,30.41958526812327
b.2_NUC_13,r.A,f.coal_extract,2020,f.eCO2,24.869766327839884
b.2_NUC_13,r.A,f.coal_extract,2021,f.eCO2,179.63386714119594
b.2_NUC_13,r.A,f.coal_extract,2022,f.eCO2,171.4019028062702
b.2_NUC_13,r.A,f.coal_extract,2023,f.eCO2,159.64827596366726
b.2_NUC_13,r.A,f.coal_extract,2024,f.eCO2,143.40526691818116
b.2_NUC_13,r.A,f.coal_extract,2025,f.eCO2,134.71258248663491
b.2_NUC_13,r.A,f.coal_extract,2026,f.eCO2,128.46865198393405
b.2_NUC_13,r.A,f.coal_extract,2027,f.eCO2,122.22472148123322
b.2_NUC_13,r.A,f.coal_extract,2028,f.eCO2,115.98079097853235
b.2_NUC_13,r.A,f.coal_extract,2029,f.eCO2,109.73686047583149
b.2_NUC_13,r.A,f.coal_extract,2030,f.eCO2,103.4929299731306
b.2_NUC_13,r.A,f.coal_extract,2031,f.eCO2,100.1119016546074
b.2_NUC_13,r.A,f.coal_extract,2032,f.eCO2,96.73087333608416
b.2_NUC_13,r.A,f.coal_extract,2033,f.eCO2,93.34984501756097
b.2_NUC_13,r.A,f.coal_extract,2034,f.eCO2,89.96881669903775
b.2_NUC_13,r.A,f.coal_extract,2035,f.eCO2,86.58778838051455
b.2_NUC_13,r.A,f.coal_extract,2036,f.eCO2,83.20676006199135
b.2_NUC_13,r.A,f.coal_extract,2037,f.eCO2,79.82573174346814
b.2_NUC_13,r.A,f.coal_extract,2038,f.eCO2,76.44470342494493
b.2_NUC_13,r.A,f.coal_extract,2039,f.eCO2,73.06367510642174
b.2_NUC_13,r.A,f.coal_extract,2040,f.eCO2,69.68264678789853
b.2_NUC_13,r.A,f.coal_extract,2041,f.eCO2,62.24107595945144
b.2_NUC_13,r.A,f.coal_extract,2042,f.eCO2,55.60883929373797
b.2_NUC_13,r.A,f.coal_extract,2043,f.eCO2,49.694643248569264
b.2_NUC_13,r.A,f.coal_extract,2044,f.eCO2,44.41773132760216
b.2_NUC_13,r.A,f.coal_extract,2045,f.eCO2,39.70664030227454
b.2_NUC_13,r.A,f.coal_extract,2046,f.eCO2,35.49810673146109
b.2_NUC_13,r.A,f.coal_extract,2047,f.eCO2,31.736105143808505
b.2_NUC_13,r.A,f.coal_extract,2048,f.eCO2,28.371001625639384
b.2_NUC_13,r.A,f.coal_extract,2049,f.eCO2,25.35880862197058
