,,,,,value
b.3_NUC_17,r.A,f.elect,2021,1,0.03274037770320572
b.3_NUC_17,r.A,f.elect,2021,2,0.03096055640744298
b.3_NUC_17,r.A,f.elect,2021,3,0.029827707516396077
b.3_NUC_17,r.A,f.elect,2021,4,0.029646620593898016
b.3_NUC_17,r.A,f.elect,2021,5,0.02993679071728079
b.3_NUC_17,r.A,f.elect,2021,6,0.03196894493878789
b.3_NUC_17,r.A,f.elect,2021,7,0.03576258834756374
b.3_NUC_17,r.A,f.elect,2021,8,0.04094719097552129
b.3_NUC_17,r.A,f.elect,2021,9,0.04456507913962475
b.3_NUC_17,r.A,f.elect,2021,10,0.04658991056958698
b.3_NUC_17,r.A,f.elect,2021,11,0.04678217038178062
b.3_NUC_17,r.A,f.elect,2021,12,0.04648200057042666
b.3_NUC_17,r.A,f.elect,2021,13,0.04525889209922034
b.3_NUC_17,r.A,f.elect,2021,14,0.0450291960032399
b.3_NUC_17,r.A,f.elect,2021,15,0.04492198836531103
b.3_NUC_17,r.A,f.elect,2021,16,0.045249225672948194
b.3_NUC_17,r.A,f.elect,2021,17,0.04481604775482617
b.3_NUC_17,r.A,f.elect,2021,18,0.04521552914565668
b.3_NUC_17,r.A,f.elect,2021,19,0.04589546490263335
b.3_NUC_17,r.A,f.elect,2021,20,0.04646417574315176
b.3_NUC_17,r.A,f.elect,2021,21,0.04524148911568876
b.3_NUC_17,r.A,f.elect,2021,22,0.04194865405705268
b.3_NUC_17,r.A,f.elect,2021,23,0.03874029568315586
b.3_NUC_17,r.A,f.elect,2021,24,0.035123205568441285
b.3_NUC_17,r.A,f.elect,2022,1,0.03284015402226547
b.3_NUC_17,r.A,f.elect,2022,2,0.031054966766727914
b.3_NUC_17,r.A,f.elect,2022,3,0.030091176440792042
b.3_NUC_17,r.A,f.elect,2022,4,0.02973706958541026
b.3_NUC_17,r.A,f.elect,2022,5,0.030204221646100066
b.3_NUC_17,r.A,f.elect,2022,6,0.032066395475370095
b.3_NUC_17,r.A,f.elect,2022,7,0.03609350057359152
b.3_NUC_17,r.A,f.elect,2022,8,0.04107170990778809
b.3_NUC_17,r.A,f.elect,2022,9,0.044922529879165625
b.3_NUC_17,r.A,f.elect,2022,10,0.046731441662813136
b.3_NUC_17,r.A,f.elect,2022,11,0.04714630540049649
b.3_NUC_17,r.A,f.elect,2022,12,0.046623206327218114
b.3_NUC_17,r.A,f.elect,2022,13,0.04561843460631187
b.3_NUC_17,r.A,f.elect,2022,14,0.04516602171868294
b.3_NUC_17,r.A,f.elect,2022,15,0.045280515145774004
b.3_NUC_17,r.A,f.elect,2022,16,0.04538671475294347
b.3_NUC_17,r.A,f.elect,2022,17,0.04517425513633841
b.3_NUC_17,r.A,f.elect,2022,18,0.045352916634435796
b.3_NUC_17,r.A,f.elect,2022,19,0.04625692660468281
b.3_NUC_17,r.A,f.elect,2022,20,0.04682735204402134
b.3_NUC_17,r.A,f.elect,2022,21,0.04537895487083946
b.3_NUC_17,r.A,f.elect,2022,22,0.04229821657108441
b.3_NUC_17,r.A,f.elect,2022,23,0.03890281345774603
b.3_NUC_17,r.A,f.elect,2022,24,0.035452190127752393
b.3_NUC_17,r.A,f.elect,2023,1,0.0327220074898473
b.3_NUC_17,r.A,f.elect,2023,2,0.031151490397632486
b.3_NUC_17,r.A,f.elect,2023,3,0.03008582900650767
b.3_NUC_17,r.A,f.elect,2023,4,0.029755999724551768
b.3_NUC_17,r.A,f.elect,2023,5,0.03019577573983043
b.3_NUC_17,r.A,f.elect,2023,6,0.03197710093458882
b.3_NUC_17,r.A,f.elect,2023,7,0.03598513303028156
b.3_NUC_17,r.A,f.elect,2023,8,0.04097830598857699
b.3_NUC_17,r.A,f.elect,2023,9,0.04484070084936873
b.3_NUC_17,r.A,f.elect,2023,10,0.04665504990456135
b.3_NUC_17,r.A,f.elect,2023,11,0.04707116064987463
b.3_NUC_17,r.A,f.elect,2023,12,0.046766525355629196
b.3_NUC_17,r.A,f.elect,2023,13,0.04575873346716317
b.3_NUC_17,r.A,f.elect,2023,14,0.045084924582648074
b.3_NUC_17,r.A,f.elect,2023,15,0.045199762156899234
b.3_NUC_17,r.A,f.elect,2023,16,0.04530628098146082
b.3_NUC_17,r.A,f.elect,2023,17,0.045093182748512886
b.3_NUC_17,r.A,f.elect,2023,18,0.04527238127173697
b.3_NUC_17,r.A,f.elect,2023,19,0.04617910853739451
b.3_NUC_17,r.A,f.elect,2023,20,0.04675124857555312
b.3_NUC_17,r.A,f.elect,2023,21,0.045298497774512274
b.3_NUC_17,r.A,f.elect,2023,22,0.04220849931577838
b.3_NUC_17,r.A,f.elect,2023,23,0.03896671111929836
b.3_NUC_17,r.A,f.elect,2023,24,0.03534189491772572
b.3_NUC_17,r.A,f.elect,2024,1,0.03282525515142739
b.3_NUC_17,r.A,f.elect,2024,2,0.03107873862225943
b.3_NUC_17,r.A,f.elect,2024,3,0.03018231891246768
b.3_NUC_17,r.A,f.elect,2024,4,0.029851567145938333
b.3_NUC_17,r.A,f.elect,2024,5,0.03029474155599748
b.3_NUC_17,r.A,f.elect,2024,6,0.032091856145541046
b.3_NUC_17,r.A,f.elect,2024,7,0.03609815968096982
b.3_NUC_17,r.A,f.elect,2024,8,0.041106296263364143
b.3_NUC_17,r.A,f.elect,2024,9,0.04498026601357008
b.3_NUC_17,r.A,f.elect,2024,10,0.046800052340307846
b.3_NUC_17,r.A,f.elect,2024,11,0.047217410093251
b.3_NUC_17,r.A,f.elect,2024,12,0.046691166331843406
b.3_NUC_17,r.A,f.elect,2024,13,0.0456884819187838
b.3_NUC_17,r.A,f.elect,2024,14,0.045225221640611435
b.3_NUC_17,r.A,f.elect,2024,15,0.0453404033620227
b.3_NUC_17,r.A,f.elect,2024,16,0.04544724140397641
b.3_NUC_17,r.A,f.elect,2024,17,0.04523350455468561
b.3_NUC_17,r.A,f.elect,2024,18,0.0454132401030364
b.3_NUC_17,r.A,f.elect,2024,19,0.04632268466410445
b.3_NUC_17,r.A,f.elect,2024,20,0.0468965393010832
b.3_NUC_17,r.A,f.elect,2024,21,0.04543943487218332
b.3_NUC_17,r.A,f.elect,2024,22,0.04234017625447061
b.3_NUC_17,r.A,f.elect,2024,23,0.03892436116869743
b.3_NUC_17,r.A,f.elect,2024,24,0.03545299390169731
