,,,,,value
a.1_STEPS_res,r.A,f.coal_extract,1990,f.eCO2,68.15895181540778
a.1_STEPS_res,r.A,f.coal_extract,1991,f.eCO2,63.10121647647344
a.1_STEPS_res,r.A,f.coal_extract,1992,f.eCO2,57.1138952628224
a.1_STEPS_res,r.A,f.coal_extract,1993,f.eCO2,48.31520509493414
a.1_STEPS_res,r.A,f.coal_extract,1994,f.eCO2,50.6135914548587
a.1_STEPS_res,r.A,f.coal_extract,1995,f.eCO2,62.5710935001508
a.1_STEPS_res,r.A,f.coal_extract,1996,f.eCO2,62.1727972124472
a.1_STEPS_res,r.A,f.coal_extract,1997,f.eCO2,62.698601958803145
a.1_STEPS_res,r.A,f.coal_extract,1998,f.eCO2,61.87841220743587
a.1_STEPS_res,r.A,f.coal_extract,1999,f.eCO2,63.64149263122159
a.1_STEPS_res,r.A,f.coal_extract,2000,f.eCO2,64.04812719628956
a.1_STEPS_res,r.A,f.coal_extract,2001,f.eCO2,76.68893632306381
a.1_STEPS_res,r.A,f.coal_extract,2002,f.eCO2,75.4307856669188
a.1_STEPS_res,r.A,f.coal_extract,2003,f.eCO2,75.78598077110063
a.1_STEPS_res,r.A,f.coal_extract,2004,f.eCO2,87.62916011150554
a.1_STEPS_res,r.A,f.coal_extract,2005,f.eCO2,77.41269888424175
a.1_STEPS_res,r.A,f.coal_extract,2006,f.eCO2,75.00209438531485
a.1_STEPS_res,r.A,f.coal_extract,2007,f.eCO2,76.01032770298305
a.1_STEPS_res,r.A,f.coal_extract,2008,f.eCO2,75.17068855317912
a.1_STEPS_res,r.A,f.coal_extract,2009,f.eCO2,59.29800929965618
a.1_STEPS_res,r.A,f.coal_extract,2010,f.eCO2,65.20590700477806
a.1_STEPS_res,r.A,f.coal_extract,2011,f.eCO2,73.10711991044812
a.1_STEPS_res,r.A,f.coal_extract,2012,f.eCO2,75.0422708481213
a.1_STEPS_res,r.A,f.coal_extract,2013,f.eCO2,62.031553341480375
a.1_STEPS_res,r.A,f.coal_extract,2014,f.eCO2,58.74785551385939
a.1_STEPS_res,r.A,f.coal_extract,2015,f.eCO2,57.25929654132182
a.1_STEPS_res,r.A,f.coal_extract,2016,f.eCO2,49.78319344234708
a.1_STEPS_res,r.A,f.coal_extract,2017,f.eCO2,44.33052325440577
a.1_STEPS_res,r.A,f.coal_extract,2018,f.eCO2,40.55671048170973
a.1_STEPS_res,r.A,f.coal_extract,2019,f.eCO2,30.41958526812327
a.1_STEPS_res,r.A,f.coal_extract,2020,f.eCO2,24.869766327839898
a.1_STEPS_res,r.A,f.coal_extract,2021,f.eCO2,179.63386714119602
a.1_STEPS_res,r.A,f.coal_extract,2022,f.eCO2,171.40190280627024
a.1_STEPS_res,r.A,f.coal_extract,2023,f.eCO2,159.64827596366734
a.1_STEPS_res,r.A,f.coal_extract,2024,f.eCO2,143.4052669181812
a.1_STEPS_res,r.A,f.coal_extract,2025,f.eCO2,134.71258248663497
a.1_STEPS_res,r.A,f.coal_extract,2026,f.eCO2,128.4686519839341
a.1_STEPS_res,r.A,f.coal_extract,2027,f.eCO2,122.22472148123326
a.1_STEPS_res,r.A,f.coal_extract,2028,f.eCO2,115.9807909785324
a.1_STEPS_res,r.A,f.coal_extract,2029,f.eCO2,109.7368604758315
a.1_STEPS_res,r.A,f.coal_extract,2030,f.eCO2,103.49292997313064
a.1_STEPS_res,r.A,f.coal_extract,2031,f.eCO2,100.11190165460742
a.1_STEPS_res,r.A,f.coal_extract,2032,f.eCO2,96.7308733360842
a.1_STEPS_res,r.A,f.coal_extract,2033,f.eCO2,93.349845017561
a.1_STEPS_res,r.A,f.coal_extract,2034,f.eCO2,89.96881669903777
a.1_STEPS_res,r.A,f.coal_extract,2035,f.eCO2,86.58778838051458
a.1_STEPS_res,r.A,f.coal_extract,2036,f.eCO2,83.20676006199137
a.1_STEPS_res,r.A,f.coal_extract,2037,f.eCO2,79.82573174346818
a.1_STEPS_res,r.A,f.coal_extract,2038,f.eCO2,76.44470342494498
a.1_STEPS_res,r.A,f.coal_extract,2039,f.eCO2,73.06367510642177
a.1_STEPS_res,r.A,f.coal_extract,2040,f.eCO2,69.68264678789855
a.1_STEPS_res,r.A,f.coal_extract,2041,f.eCO2,62.24107595945147
a.1_STEPS_res,r.A,f.coal_extract,2042,f.eCO2,55.608839293738
a.1_STEPS_res,r.A,f.coal_extract,2043,f.eCO2,49.69464324856928
